Samples4Survey FeSe_0720
1350.08 616103.24
1349.08 607685.95
1348.08 604493.71
1347.08 604964.2
1346.08 599038.5
1345.08 594370.97
1344.08 589458.6
1343.08 586212.53
1342.08 583835.1
1341.08 577405.51
1340.08 572969.76
1339.08 574424.98
1338.08 570334.53
1337.08 569710.21
1336.08 565392.66
1335.08 564295.61
1334.08 561350.69
1333.08 563975.29
1332.08 555458.62
1331.08 551046.07
1330.08 551388.89
1329.08 548626.82
1328.08 548317.24
1327.08 549849.6
1326.08 549718.73
1325.08 553708.95
1324.08 548169.69
1323.08 555529.57
1322.08 550221.86
1321.08 551736.83
1320.08 548442.32
1319.08 551353.22
1318.08 555745.91
1317.08 557381.76
1316.08 554184.71
1315.08 554442.47
1314.08 555019.45
1313.08 561113.34
1312.08 560163.84
1311.08 551151.07
1310.08 553007.05
1309.08 556027.78
1308.08 553520.56
1307.08 555238.28
1306.08 557031.54
1305.08 556459.2
1304.08 562485.12
1303.08 557186.5
1302.08 551438.78
1301.08 543239.19
1300.08 544420.34
1299.08 543299.89
1298.08 543399.82
1297.08 535939.64
1296.08 535163.8
1295.08 531772.2
1294.08 525395.09
1293.08 523691.48
1292.08 523947.97
1291.08 522352.53
1290.08 518728.55
1289.08 516740.49
1288.08 517264.62
1287.08 519014.83
1286.08 510258.2
1285.08 507395.55
1284.08 507446.22
1283.08 505096.81
1282.08 502777.41
1281.08 504687.14
1280.08 507671.89
1279.08 499634.49
1278.08 497160.95
1277.08 496997.12
1276.08 498982.2
1275.08 497868.07
1274.08 497131.9
1273.08 493521.95
1272.08 493276.89
1271.08 496372.48
1270.08 495348.73
1269.08 495785.38
1268.08 497971.43
1267.08 498621.05
1266.08 499246.8
1265.08 501965.76
1264.08 505939.36
1263.08 507544.91
1262.08 508723.05
1261.08 509217.33
1260.08 514119.67
1259.08 508941.74
1258.08 519473.04
1257.08 516185.37
1256.08 522885.3
1255.08 526422.86
1254.08 529481.42
1253.08 527542.63
1252.08 530353.15
1251.08 534552.91
1250.08 538330.19
1249.08 537248.08
1248.08 541027.17
1247.08 543206.99
1246.08 544884.36
1245.08 547470.32
1244.08 551841.45
1243.08 551339.6
1242.08 546825.13
1241.08 552435.89
1240.08 553210.53
1239.08 552136.46
1238.08 544291.23
1237.08 547802.02
1236.08 549532.47
1235.08 550044.48
1234.08 549219.81
1233.08 555723.14
1232.08 554823.47
1231.08 556506.22
1230.08 555703.38
1229.08 557874.08
1228.08 555976.11
1227.08 553605.08
1226.08 556758.94
1225.08 554716.87
1224.08 550559.86
1223.08 549120.66
1222.08 549220.83
1221.08 545339.06
1220.08 547808.37
1219.08 540499.71
1218.08 536445.34
1217.08 528986.26
1216.08 528652.43
1215.08 525105.8
1214.08 523728.4
1213.08 514840.59
1212.08 517876.43
1211.08 511188.91
1210.08 509712.33
1209.08 509257.6
1208.08 508991.77
1207.08 505822.54
1206.08 508484.17
1205.08 505072.26
1204.08 506591.69
1203.08 503993.1
1202.08 508899.89
1201.08 507371.37
1200.08 507731
1199.08 508941.84
1198.08 510312.34
1197.08 513921.76
1196.08 514469.55
1195.08 519578.27
1194.08 518854.14
1193.08 520766.76
1192.08 515946.25
1191.08 518414.79
1190.08 526677.75
1189.08 527445.15
1188.08 522663.76
1187.08 523590.58
1186.08 526388.86
1185.08 528276.89
1184.08 531756.86
1183.08 532911.38
1182.08 530501.24
1181.08 539459.1
1180.08 539050.51
1179.08 537809.95
1178.08 542780.82
1177.08 544447.93
1176.08 543271.98
1175.08 544566.95
1174.08 541988.21
1173.08 550127.53
1172.08 551381.31
1171.08 548009.49
1170.08 553439.23
1169.08 549794.33
1168.08 550413.31
1167.08 557205.59
1166.08 550486.14
1165.08 553056.2
1164.08 553377.1
1163.08 552595.99
1162.08 552645.19
1161.08 552917.49
1160.08 554150.19
1159.08 554856.01
1158.08 553285.22
1157.08 554342.63
1156.08 556500.38
1155.08 548436.51
1154.08 546409.59
1153.08 544695.35
1152.08 551946.02
1151.08 548433.23
1150.08 550907.73
1149.08 543313.43
1148.08 545149.75
1147.08 542864.88
1146.08 539821.28
1145.08 544689.12
1144.08 544948.53
1143.08 542374.78
1142.08 547053.09
1141.08 545581.56
1140.08 552395.53
1139.08 548026.44
1138.08 552249.9
1137.08 551567.71
1136.08 559681.52
1135.08 555442.76
1134.08 555150.18
1133.08 554542.36
1132.08 557445.28
1131.08 555907.74
1130.08 555450.59
1129.08 558423
1128.08 557699.84
1127.08 561341.63
1126.08 561387.76
1125.08 567882.78
1124.08 561118.69
1123.08 561904.42
1122.08 565289.06
1121.08 563725.28
1120.08 564516.97
1119.08 567261.12
1118.08 567730.26
1117.08 569049.83
1116.08 574392.09
1115.08 577878.05
1114.08 577182.52
1113.08 582360.43
1112.08 582602.87
1111.08 589308.24
1110.08 592591.28
1109.08 603183.7
1108.08 607466.98
1107.08 613241
1106.08 613101.63
1105.08 615117.6
1104.08 617112.04
1103.08 620127.37
1102.08 614571.43
1101.08 606534.78
1100.08 601064.57
1099.08 587706.87
1098.08 582060.1
1097.08 579292.75
1096.08 573850.06
1095.08 571154.46
1094.08 564203.27
1093.08 564502.3
1092.08 561120.47
1091.08 564916.41
1090.08 564864.83
1089.08 564515.47
1088.08 567455.35
1087.08 564751.01
1086.08 558250.47
1085.08 558291.3
1084.08 558236.62
1083.08 560310.39
1082.08 558800.14
1081.08 556115.27
1080.08 557994.41
1079.08 556060.74
1078.08 558064.83
1077.08 561998.2
1076.08 563992.71
1075.08 566822.19
1074.08 570018.45
1073.08 574438.66
1072.08 573889.27
1071.08 574717.4
1070.08 573228.69
1069.08 562237.46
1068.08 561393.45
1067.08 565089.25
1066.08 561727.18
1065.08 558756.41
1064.08 556913.09
1063.08 553763.27
1062.08 554238.59
1061.08 553757.08
1060.08 553737.54
1059.08 556975.69
1058.08 560184.92
1057.08 557729.24
1056.08 559493.59
1055.08 560473.02
1054.08 564580.99
1053.08 564919.97
1052.08 560161.72
1051.08 564258.7
1050.08 565223.21
1049.08 564620.26
1048.08 567019.06
1047.08 575145.86
1046.08 575098.92
1045.08 574732.36
1044.08 575875.63
1043.08 577142.02
1042.08 587209.3
1041.08 582732.69
1040.08 586200.79
1039.08 590898.79
1038.08 590600.3
1037.08 594547.14
1036.08 596705.39
1035.08 594054.16
1034.08 593244.11
1033.08 598281.37
1032.08 594750.16
1031.08 600354.68
1030.08 598659.36
1029.08 600879.82
1028.08 603511.01
1027.08 601572.4
1026.08 605129.58
1025.08 603500.21
1024.08 608314.01
1023.08 605236.21
1022.08 608899.34
1021.08 608001.58
1020.08 611203.82
1019.08 612956.51
1018.08 617284.6
1017.08 613662.13
1016.08 620005.88
1015.08 615715.19
1014.08 618778.63
1013.08 625778.69
1012.08 625658.22
1011.08 630905.47
1010.08 632302.89
1009.08 634115.88
1008.08 637050.93
1007.08 638043.83
1006.08 636936.22
1005.08 636207.1
1004.08 635805.7
1003.08 630498.5
1002.08 637146.88
1001.08 636959.53
1000.08 642127.78
999.08 647643.22
998.08 649884.08
997.08 652487.04
996.08 659137.34
995.08 671055.35
994.08 672805.71
993.08 657297.57
992.08 648285.87
991.08 640568.03
990.08 637643.89
989.08 637865.93
988.08 637035.52
987.08 634603.26
986.08 626267.27
985.08 631856.26
984.08 626315.26
983.08 628137.38
982.08 633727.77
981.08 642916.04
980.08 652779.89
979.08 669263.73
978.08 696582.99
977.08 729062.68
976.08 759507.93
975.08 796229.17
974.08 815682.93
973.08 791167.8
972.08 730783.98
971.08 690496.86
970.08 666557.35
969.08 643701.94
968.08 628454.85
967.08 616291.72
966.08 606312.5
965.08 595729.53
964.08 581503.39
963.08 579206.75
962.08 576596.86
961.08 570399.7
960.08 570186.31
959.08 573112.47
958.08 570935.48
957.08 570617.92
956.08 566064.43
955.08 571437.6
954.08 572260.66
953.08 572577.67
952.08 570621.77
951.08 569526.54
950.08 576302.34
949.08 575668.97
948.08 574915.22
947.08 572837.07
946.08 576996.31
945.08 586787.1
944.08 578495.9
943.08 581007.34
942.08 585518.35
941.08 587786.48
940.08 593483.02
939.08 595614.44
938.08 595002.89
937.08 601091.45
936.08 601792.09
935.08 600762.22
934.08 600227.6
933.08 603925.36
932.08 604981.23
931.08 607733.53
930.08 614251.96
929.08 618151.95
928.08 613620.12
927.08 619922.21
926.08 626840.18
925.08 625084.42
924.08 624452.94
923.08 628314.89
922.08 620611.91
921.08 623625.37
920.08 627304.27
919.08 627958.67
918.08 626611.72
917.08 625065.02
916.08 633626.01
915.08 630964.13
914.08 631231.82
913.08 638642.71
912.08 633590.25
911.08 631898.66
910.08 640104.28
909.08 643384.97
908.08 634338.23
907.08 639352.52
906.08 645370.76
905.08 640227.67
904.08 648000.64
903.08 645050.64
902.08 642134.09
901.08 640282.76
900.08 645065.96
899.08 643127.2
898.08 638063.54
897.08 639473.21
896.08 641100.11
895.08 634359.73
894.08 634523.67
893.08 634683.76
892.08 633849.73
891.08 636618.77
890.08 637352.36
889.08 623007.11
888.08 619579.25
887.08 606977.57
886.08 603026.62
885.08 595596.95
884.08 590924.68
883.08 598141.84
882.08 597597.77
881.08 596349.84
880.08 601974.76
879.08 603974.37
878.08 604093.48
877.08 604428.71
876.08 607924.46
875.08 611324.47
874.08 617900.21
873.08 615134.25
872.08 616635.61
871.08 619587.93
870.08 624045.18
869.08 627675.48
868.08 635856.91
867.08 633746.69
866.08 633356.64
865.08 641641.07
864.08 647431.91
863.08 647439.33
862.08 646397.25
861.08 652306.35
860.08 658349
859.08 660532.94
858.08 664472.31
857.08 668939.56
856.08 670476.41
855.08 672364.31
854.08 676707.86
853.08 676198.56
852.08 677329.85
851.08 680832.48
850.08 680237.78
849.08 680642.29
848.08 683085.83
847.08 685284.25
846.08 679149.44
845.08 681614.3
844.08 675718.55
843.08 679158.4
842.08 673270.56
841.08 669774.58
840.08 658581.12
839.08 656307.01
838.08 651274.4
837.08 646706.43
836.08 641520.78
835.08 630028.45
834.08 620870.78
833.08 606946.34
832.08 592512.71
831.08 588003.88
830.08 582799.77
829.08 581572.73
828.08 579466.66
827.08 578970.43
826.08 576818.81
825.08 573645.33
824.08 572940.22
823.08 573207.47
822.08 572812.59
821.08 572365.57
820.08 569706.6
819.08 571038.09
818.08 570355.13
817.08 569160.82
816.08 572073.21
815.08 577210.42
814.08 577511.46
813.08 583185.98
812.08 587115.83
811.08 590210.22
810.08 592738.25
809.08 597300.99
808.08 598619.76
807.08 603092.23
806.08 601790.13
805.08 607335.78
804.08 604512.38
803.08 613440.16
802.08 612961.67
801.08 614933.57
800.08 620116.57
799.08 623825.09
798.08 622976.96
797.08 627085.46
796.08 629598.69
795.08 637227.46
794.08 641520.04
793.08 642167.78
792.08 649644.81
791.08 653033.48
790.08 655737.66
789.08 659441.36
788.08 666200.11
787.08 671629.95
786.08 673138.73
785.08 678392.65
784.08 675190.6
783.08 674343.99
782.08 669919.18
781.08 664069.84
780.08 652513.92
779.08 647354.05
778.08 634846.8
777.08 632024.63
776.08 631336.65
775.08 628974.78
774.08 633613.7
773.08 627780.18
772.08 631232.59
771.08 626315.7
770.08 628960.03
769.08 623148.33
768.08 620636.95
767.08 622121.08
766.08 614442.17
765.08 611441.72
764.08 610721.19
763.08 612662.7
762.08 608426.21
761.08 612701.06
760.08 610191
759.08 613640.95
758.08 609822.2
757.08 613325.07
756.08 613380.74
755.08 617504.22
754.08 614159.36
753.08 619661.87
752.08 617917.99
751.08 620383.01
750.08 622126.4
749.08 621767.6
748.08 623223.29
747.08 636936.8
746.08 635493.75
745.08 643199.94
744.08 649608.53
743.08 657358.22
742.08 662964.9
741.08 664965.6
740.08 660184.41
739.08 670441.4
738.08 669319.39
737.08 677312.34
736.08 682687.76
735.08 695394.72
734.08 704600.75
733.08 707418.82
732.08 718770.3
731.08 724225.02
730.08 725119.4
729.08 732059.57
728.08 747405.81
727.08 758844.77
726.08 766239.78
725.08 793362.76
724.08 790884.58
723.08 766844.11
722.08 743887.51
721.08 730925.46
720.08 724342.79
719.08 719959.03
718.08 712567.86
717.08 708515.66
716.08 705782.8
715.08 708054.93
714.08 723535.61
713.08 747519.53
712.08 780579.99
711.08 806114.24
710.08 777622.75
709.08 693031.21
708.08 626329.36
707.08 596771.72
706.08 582755.24
705.08 565720.06
704.08 564462.57
703.08 563083.17
702.08 560486.23
701.08 558090.85
700.08 555708.85
699.08 558444.23
698.08 556899.9
697.08 560864.54
696.08 558577.67
695.08 558335.65
694.08 552887.76
693.08 558528.41
692.08 556441.86
691.08 556110.15
690.08 556938.46
689.08 561368.04
688.08 552757.2
687.08 557948.65
686.08 559977
685.08 561624.77
684.08 563819.13
683.08 555927.07
682.08 566493.51
681.08 562657.61
680.08 568006.07
679.08 566626.97
678.08 573613.67
677.08 572662.07
676.08 577153.5
675.08 577526.38
674.08 574019.09
673.08 579218.23
672.08 587136.43
671.08 588787.48
670.08 587925.52
669.08 589819.56
668.08 593773.17
667.08 590748.57
666.08 602361.1
665.08 603303.35
664.08 606203.35
663.08 604499.81
662.08 606401.55
661.08 612887.82
660.08 607214.68
659.08 610098.19
658.08 616211.05
657.08 617780.75
656.08 620495.94
655.08 622351.52
654.08 619111.16
653.08 622037.21
652.08 623639.86
651.08 623810.53
650.08 626247.8
649.08 621956.9
648.08 621832.87
647.08 625354.36
646.08 625535.41
645.08 622505.91
644.08 620461.96
643.08 626170.95
642.08 623971.52
641.08 628012.45
640.08 625410.89
639.08 624601.99
638.08 623394.37
637.08 626906.11
636.08 625208.52
635.08 630214.74
634.08 622803.49
633.08 627010.23
632.08 628969.51
631.08 623805.55
630.08 627258.89
629.08 629384.79
628.08 635052.73
627.08 627697.57
626.08 633444.11
625.08 629879.7
624.08 630105.7
623.08 629900.72
622.08 633481.11
621.08 634983.31
620.08 634117.86
619.08 634945.81
618.08 636997.11
617.08 633848.42
616.08 638051.54
615.08 635028.85
614.08 641653.84
613.08 638086.45
612.08 646907.99
611.08 644820.76
610.08 644992.76
609.08 648826.95
608.08 648156.98
607.08 651940.72
606.08 653703.79
605.08 653755.2
604.08 653740.07
603.08 657388.43
602.08 660419.3
601.08 665858.8
600.08 665657.59
599.08 664293.53
598.08 672298.27
597.08 670768.04
596.08 674850.03
595.08 675356.02
594.08 684384.67
593.08 684061.25
592.08 688626.06
591.08 688551.49
590.08 691135.09
589.08 691773.2
588.08 699374.14
587.08 701862.59
586.08 708061.01
585.08 703830.73
584.08 696197.07
583.08 700518.44
582.08 700801.1
581.08 707141.82
580.08 709793.1
579.08 716809.83
578.08 714008.73
577.08 721470.54
576.08 726730.2
575.08 717010.62
574.08 707187.91
573.08 699637.06
572.08 692969.75
571.08 694632.94
570.08 695698.94
569.08 701993.16
568.08 704918.45
567.08 712746.47
566.08 732750.81
565.08 739139.47
564.08 742687.07
563.08 731473.28
562.08 712987.16
561.08 705549.79
560.08 701241.97
559.08 693602.16
558.08 689484.29
557.08 684133.8
556.08 677323.52
555.08 677470.68
554.08 673395.42
553.08 668944.97
552.08 661788.44
551.08 670475.15
550.08 675510.14
549.08 675502.01
548.08 673287.87
547.08 662224.09
546.08 662572.42
545.08 659914.98
544.08 665057.13
543.08 673690.34
542.08 663774.97
541.08 659846.58
540.08 646717.36
539.08 630432.09
538.08 620927.34
537.08 626215.5
536.08 639110.57
535.08 643084.15
534.08 657492.57
533.08 704595.13
532.08 843679.79
531.08 1057837.48
530.08 1365706.26
529.08 1483809.18
528.08 996097.62
527.08 649110.48
526.08 595806.63
525.08 578618.87
524.08 577281.61
523.08 570517.11
522.08 571040.44
521.08 570646.54
520.08 570243.88
519.08 572307.47
518.08 572454.93
517.08 573881.83
516.08 578350.98
515.08 573302.46
514.08 573194.43
513.08 578238.85
512.08 575238.29
511.08 575600.03
510.08 580215.71
509.08 581981.22
508.08 577140.3
507.08 584460.17
506.08 581142.28
505.08 583904.15
504.08 583366.79
503.08 585177.46
502.08 581777.77
501.08 583681.63
500.08 582198.17
499.08 583523.77
498.08 580492.04
497.08 583241.02
496.08 585258.01
495.08 586286.38
494.08 587373.09
493.08 586004.37
492.08 586726.81
491.08 589120.64
490.08 590139.99
489.08 594616.7
488.08 594543.91
487.08 587459.13
486.08 585745.49
485.08 581758.26
484.08 582481.47
483.08 581074.76
482.08 574065.3
481.08 578439.79
480.08 584256.79
479.08 594187.38
478.08 600498.81
477.08 601669.83
476.08 598100.43
475.08 597198.26
474.08 600155.99
473.08 610031.41
472.08 622357.77
471.08 618105.31
470.08 599830.22
469.08 580916.99
468.08 569433.12
467.08 562191.44
466.08 586321.23
465.08 644740.55
464.08 712351.7
463.08 698414.81
462.08 624088.51
461.08 586295.91
460.08 612294.52
459.08 760019.95
458.08 954906.47
457.08 791098.43
456.08 570612.34
455.08 532798.73
454.08 534196.16
453.08 527641.7
452.08 525156.77
451.08 523266.32
450.08 521653.63
449.08 520542.44
448.08 519052.19
447.08 517534.25
446.08 516042.38
445.08 518718.72
444.08 518986.25
443.08 521814.21
442.08 526264.33
441.08 521657.86
440.08 528060.24
439.08 522831.25
438.08 525719.6
437.08 522368.72
436.08 523314.29
435.08 520402.7
434.08 523478.8
433.08 525143.14
432.08 526021.65
431.08 525361.4
430.08 521258.89
429.08 524687.53
428.08 521259.61
427.08 519086.33
426.08 520231.55
425.08 525533
424.08 523903.83
423.08 524786.5
422.08 527301.67
421.08 526797.14
420.08 530056.91
419.08 528756.79
418.08 532862.58
417.08 533506.18
416.08 533648.32
415.08 537160.54
414.08 536026.79
413.08 541029.53
412.08 542941.02
411.08 541324.29
410.08 546650.29
409.08 546352.73
408.08 550740.88
407.08 554148.43
406.08 556847.29
405.08 559889.25
404.08 562650.6
403.08 568232.08
402.08 570248.18
401.08 575684.12
400.08 578161.47
399.08 574557.2
398.08 575431.56
397.08 570080.05
396.08 564956.41
395.08 567862.2
394.08 571055.12
393.08 571574.86
392.08 578304.13
391.08 573475.12
390.08 574756.45
389.08 571215.06
388.08 573805.46
387.08 566331.45
386.08 555642.92
385.08 545197.06
384.08 539188.47
383.08 531861.89
382.08 533624.82
381.08 533107.68
380.08 532599.19
379.08 530520.13
378.08 531817.7
377.08 524121.76
376.08 527991.57
375.08 527342.97
374.08 530046.51
373.08 530158.53
372.08 527023.6
371.08 528395.96
370.08 526472.57
369.08 528546.02
368.08 528823.72
367.08 529691.03
366.08 533534.61
365.08 532378.06
364.08 532903.38
363.08 535044.68
362.08 539056.43
361.08 547250.47
360.08 556167.64
359.08 575451.53
358.08 591192.86
357.08 600993.03
356.08 592740.32
355.08 576962.63
354.08 558773.53
353.08 545656.32
352.08 541335.18
351.08 536857.41
350.08 536686.67
349.08 531025.27
348.08 530841.19
347.08 534552.34
346.08 529516.97
345.08 519685.12
344.08 521316.64
343.08 521325.07
342.08 525558.26
341.08 527039.68
340.08 529885.73
339.08 534556.06
338.08 534491.38
337.08 536363.11
336.08 541204.31
335.08 543075.84
334.08 547318.1
333.08 548327.23
332.08 550071.14
331.08 552232.74
330.08 556651.39
329.08 559173.88
328.08 562226.35
327.08 565175.61
326.08 570047.32
325.08 565427.17
324.08 570740.93
323.08 570612.7
322.08 570080.55
321.08 575760.51
320.08 577746.43
319.08 577180.31
318.08 580055.99
317.08 586280.05
316.08 583174.69
315.08 581322.38
314.08 585964.41
313.08 577566.29
312.08 579916.27
311.08 581073.98
310.08 577959.44
309.08 574429.91
308.08 579240.47
307.08 573106.59
306.08 575506.29
305.08 568463.89
304.08 568824.09
303.08 570551.65
302.08 574430.2
301.08 577804.96
300.08 585571.95
299.08 591218.06
298.08 601688.75
297.08 603421.2
296.08 600802.52
295.08 582664.98
294.08 562057.29
293.08 541131.52
292.08 528021.25
291.08 528759.93
290.08 531494.63
289.08 547129.72
288.08 553162.55
287.08 568339.84
286.08 595774.53
285.08 663959.54
284.08 668657.02
283.08 593792.56
282.08 547869.63
281.08 548228.61
280.08 596937.99
279.08 669469.3
278.08 646807.01
277.08 553922.96
276.08 496550.46
275.08 467679.95
274.08 461112
273.08 461204.27
272.08 469754.62
271.08 505671.47
270.08 600023.48
269.08 745157.99
268.08 811944.38
267.08 669424.85
266.08 532610.07
265.08 470442.6
264.08 447691.03
263.08 436496.66
262.08 434179.97
261.08 431826.6
260.08 439438.06
259.08 443643.44
258.08 450777.64
257.08 459303.66
256.08 468118.55
255.08 470358.62
254.08 463754.71
253.08 450790.27
252.08 436596.68
251.08 429225.13
250.08 429530.48
249.08 431040.09
248.08 433991.74
247.08 433490.08
246.08 434531.1
245.08 432970.13
244.08 423992.5
243.08 423593.4
242.08 417389.57
241.08 414186.6
240.08 413827.8
239.08 414804.03
238.08 412655.22
237.08 416608.78
236.08 414917.21
235.08 417401.23
234.08 416394.7
233.08 423621.01
232.08 430063.8
231.08 441010.58
230.08 448245.79
229.08 447391.4
228.08 436906.91
227.08 420706.4
226.08 413524.95
225.08 413329.98
224.08 410096.24
