Samples4Survey LaCo_0605
1350.08 907730.3
1349.08 889786.51
1348.08 889611.39
1347.08 906109.77
1346.08 899353.09
1345.08 888017.21
1344.08 873716.93
1343.08 881278.26
1342.08 881244.17
1341.08 871220.9
1340.08 862021.27
1339.08 842358.81
1338.08 837529.32
1337.08 843374.13
1336.08 838563.34
1335.08 829474.76
1334.08 842482.31
1333.08 829962.6
1332.08 834727.38
1331.08 822766.59
1330.08 822296.13
1329.08 819915.16
1328.08 813728.78
1327.08 811019.14
1326.08 796257.21
1325.08 791939.84
1324.08 793596.22
1323.08 787349.73
1322.08 787707.14
1321.08 788250.7
1320.08 780819.74
1319.08 766529.27
1318.08 773331.31
1317.08 775532.07
1316.08 782521.36
1315.08 771986.94
1314.08 758032.51
1313.08 764310.39
1312.08 751415.42
1311.08 749379.35
1310.08 756952.85
1309.08 760215.07
1308.08 748800.68
1307.08 750589.99
1306.08 752780.54
1305.08 742545.19
1304.08 742053.16
1303.08 746521.7
1302.08 730818.41
1301.08 732441.61
1300.08 736089.23
1299.08 727676.17
1298.08 731936.78
1297.08 715029.15
1296.08 719367.09
1295.08 734723.73
1294.08 731659.85
1293.08 705882.5
1292.08 728300.99
1291.08 710713.64
1290.08 726524.23
1289.08 717926.11
1288.08 717139.6
1287.08 724340.54
1286.08 722955.16
1285.08 716031.27
1284.08 711840.26
1283.08 708442.8
1282.08 710632.84
1281.08 711661.04
1280.08 713391.19
1279.08 715893.47
1278.08 713581.45
1277.08 714157.91
1276.08 704869.72
1275.08 714984.23
1274.08 699946.86
1273.08 701162.54
1272.08 700678.87
1271.08 712200.91
1270.08 707800.81
1269.08 706454.42
1268.08 699594.37
1267.08 719171.52
1266.08 713232.82
1265.08 698212.57
1264.08 699681.62
1263.08 705261.79
1262.08 710583.93
1261.08 706661.25
1260.08 697698.71
1259.08 708103.47
1258.08 701506.68
1257.08 697975.5
1256.08 717387
1255.08 707357.19
1254.08 700748.93
1253.08 699605.46
1252.08 706306.84
1251.08 710907.04
1250.08 690593.43
1249.08 708380.08
1248.08 699354.42
1247.08 704861.65
1246.08 707370.17
1245.08 705070.94
1244.08 706117.91
1243.08 713817.87
1242.08 707311.37
1241.08 709343.53
1240.08 709702.65
1239.08 712495.75
1238.08 706874.01
1237.08 715158.16
1236.08 719624.71
1235.08 716120.25
1234.08 706800.27
1233.08 714624.88
1232.08 715231.7
1231.08 717811.19
1230.08 708795.17
1229.08 721658.86
1228.08 726035.22
1227.08 725511.96
1226.08 722548.38
1225.08 715636.77
1224.08 717628.01
1223.08 719234.85
1222.08 721273.32
1221.08 721732.03
1220.08 719526.14
1219.08 710197.82
1218.08 716115.12
1217.08 715181.04
1216.08 727675.79
1215.08 715009.99
1214.08 721140.93
1213.08 714878.38
1212.08 705971.33
1211.08 719667.62
1210.08 712439.97
1209.08 732445.52
1208.08 729616.44
1207.08 719569.63
1206.08 719063.17
1205.08 721154.5
1204.08 724103.42
1203.08 717647.4
1202.08 721105.5
1201.08 710942.19
1200.08 711487.61
1199.08 711276.99
1198.08 723512.79
1197.08 710379.72
1196.08 708289.55
1195.08 697481.17
1194.08 697640.56
1193.08 704803.78
1192.08 715464.02
1191.08 710635.29
1190.08 702803.09
1189.08 709609.41
1188.08 709665.33
1187.08 705636.15
1186.08 699007.76
1185.08 722105.2
1184.08 721992.4
1183.08 718290.52
1182.08 724089.03
1181.08 720246.3
1180.08 709337.42
1179.08 720599.77
1178.08 719631.11
1177.08 734524.1
1176.08 721512.89
1175.08 722594.65
1174.08 731736.69
1173.08 733358.37
1172.08 723053.52
1171.08 724215.63
1170.08 734382.41
1169.08 728661.73
1168.08 728881.27
1167.08 741637.07
1166.08 737106.28
1165.08 733019
1164.08 732119.56
1163.08 736131.18
1162.08 736839.91
1161.08 742266.58
1160.08 738846.98
1159.08 749786.62
1158.08 755148.51
1157.08 737909.36
1156.08 742329.98
1155.08 745821.65
1154.08 749098.19
1153.08 747259.08
1152.08 752668.26
1151.08 758145.12
1150.08 753095.58
1149.08 749581.82
1148.08 755676.77
1147.08 766038.65
1146.08 764696.77
1145.08 751778.14
1144.08 764062.84
1143.08 764857.68
1142.08 762636.15
1141.08 759191.37
1140.08 760905.76
1139.08 760638.83
1138.08 749796.51
1137.08 764222.56
1136.08 756703.78
1135.08 768947.11
1134.08 768347.38
1133.08 776906.05
1132.08 770836.78
1131.08 784157.19
1130.08 792331.6
1129.08 804615.77
1128.08 809694.39
1127.08 813770.93
1126.08 819165.25
1125.08 820157.41
1124.08 826940.97
1123.08 798385.12
1122.08 791099.85
1121.08 776788.37
1120.08 765084.17
1119.08 763758.47
1118.08 767661.96
1117.08 757974.17
1116.08 757684.07
1115.08 762930.71
1114.08 763238.57
1113.08 771445.51
1112.08 765014.14
1111.08 764748.79
1110.08 772512.51
1109.08 764813.35
1108.08 765862.02
1107.08 765371.1
1106.08 776455.2
1105.08 771387.54
1104.08 782394.49
1103.08 770588.54
1102.08 766198.99
1101.08 773365.64
1100.08 764061.43
1099.08 781507.99
1098.08 785651.93
1097.08 769594.94
1096.08 781006.68
1095.08 788118.33
1094.08 784432.06
1093.08 786339.04
1092.08 784003.08
1091.08 779604.91
1090.08 793972
1089.08 789563.95
1088.08 790690.39
1087.08 788317.55
1086.08 801195.34
1085.08 798871.56
1084.08 792231.08
1083.08 791925.88
1082.08 802804.71
1081.08 798532.53
1080.08 804076.84
1079.08 803262.52
1078.08 811057.37
1077.08 803673.27
1076.08 797585.25
1075.08 810249.95
1074.08 818601.16
1073.08 814773.7
1072.08 833631.18
1071.08 826153.04
1070.08 822993.99
1069.08 818514.34
1068.08 817503.31
1067.08 814896.48
1066.08 813480.44
1065.08 821363.2
1064.08 822722.02
1063.08 817303.82
1062.08 833509.38
1061.08 833345.35
1060.08 840266.27
1059.08 834093.14
1058.08 830205.54
1057.08 833404.68
1056.08 834649.38
1055.08 839908.32
1054.08 825820.45
1053.08 836286.84
1052.08 841199.03
1051.08 845612.35
1050.08 845163.61
1049.08 857511.44
1048.08 841766.6
1047.08 845676.01
1046.08 850609.46
1045.08 838145.34
1044.08 849928.25
1043.08 841423.3
1042.08 842576.1
1041.08 861036.9
1040.08 851955.01
1039.08 853124.31
1038.08 863272.41
1037.08 861706.3
1036.08 857893.42
1035.08 858521.51
1034.08 868567.36
1033.08 871173.92
1032.08 877597.26
1031.08 867746.28
1030.08 878930.5
1029.08 864396.02
1028.08 873360.6
1027.08 877954.41
1026.08 863084.67
1025.08 863038.59
1024.08 864640.04
1023.08 863725.52
1022.08 878065
1021.08 879934.54
1020.08 875819.75
1019.08 883610.94
1018.08 888643.07
1017.08 877729.73
1016.08 879167.63
1015.08 877430.87
1014.08 880194.1
1013.08 869432.56
1012.08 879301.46
1011.08 882252.35
1010.08 888472
1009.08 892584.88
1008.08 889671.03
1007.08 897079.23
1006.08 899054.33
1005.08 898455.98
1004.08 893108.47
1003.08 899492.85
1002.08 906269.78
1001.08 907358.77
1000.08 903911.73
999.08 909618.88
998.08 909276.47
997.08 898407.56
996.08 927241.97
995.08 922891.73
994.08 921866.11
993.08 907122.43
992.08 923647.57
991.08 933520.78
990.08 908454.29
989.08 928181.92
988.08 903336.54
987.08 901650.96
986.08 911408.23
985.08 903539.8
984.08 906182.06
983.08 921153.24
982.08 902967.04
981.08 918075.06
980.08 917006.87
979.08 916771.92
978.08 917155.38
977.08 934278.7
976.08 942371.59
975.08 971161.64
974.08 976815.06
973.08 993920.82
972.08 999483.4
971.08 981285.32
970.08 943060.74
969.08 944406.21
968.08 919787.52
967.08 899319.48
966.08 907260.76
965.08 886548.14
964.08 893051.91
963.08 881908.35
962.08 880676.52
961.08 866160.46
960.08 861050.46
959.08 859164
958.08 857366.94
957.08 870877.25
956.08 868523.96
955.08 872577.23
954.08 873917.53
953.08 871757.98
952.08 859285.17
951.08 864864.97
950.08 851066.11
949.08 857815.49
948.08 847624.92
947.08 843251.42
946.08 852861.67
945.08 844834.44
944.08 856821.42
943.08 857209.65
942.08 858807.18
941.08 856102.07
940.08 850229.22
939.08 850512.68
938.08 845958.38
937.08 848230.97
936.08 848780.79
935.08 862950.28
934.08 855017.7
933.08 855104.33
932.08 865876.84
931.08 872123.13
930.08 859874.78
929.08 867493.34
928.08 884925.91
927.08 875536.8
926.08 879510.27
925.08 885667.72
924.08 870953.72
923.08 869139.79
922.08 856676.46
921.08 851532.72
920.08 864933.91
919.08 866339.66
918.08 864995.13
917.08 846679.92
916.08 852048.42
915.08 864251.85
914.08 864094.33
913.08 857485.75
912.08 861496.52
911.08 854962.11
910.08 862674.72
909.08 867597.58
908.08 857502.44
907.08 865837.95
906.08 876926.23
905.08 888320.86
904.08 882641.4
903.08 883290.29
902.08 885991.92
901.08 884977.28
900.08 884001.72
899.08 886628.73
898.08 900138.2
897.08 888984.84
896.08 884012.35
895.08 902693.22
894.08 906948.75
893.08 896838.6
892.08 908128.49
891.08 912328.01
890.08 899016.88
889.08 911546.33
888.08 918400.69
887.08 910860.09
886.08 915065.78
885.08 922453.71
884.08 931678.05
883.08 937105.82
882.08 934920.7
881.08 940849.24
880.08 929521
879.08 927015.9
878.08 924259.11
877.08 922983
876.08 922025.47
875.08 919068.66
874.08 917898.07
873.08 923119.75
872.08 930282.39
871.08 927044.82
870.08 937477.56
869.08 934552.75
868.08 952314.88
867.08 951138.34
866.08 953731.78
865.08 962807.42
864.08 963220.08
863.08 964470.34
862.08 971055.19
861.08 954392.79
860.08 937040.84
859.08 915375.85
858.08 910310.21
857.08 908941.15
856.08 937729.66
855.08 1003157.49
854.08 1069014.01
853.08 1074369.19
852.08 1032411.3
851.08 1051986.44
850.08 1099155.37
849.08 1047858.96
848.08 879292.43
847.08 791248.77
846.08 750320.56
845.08 718939.93
844.08 695185.79
843.08 677513.73
842.08 660842.79
841.08 658917.21
840.08 681385.98
839.08 750981.54
838.08 889170.23
837.08 1008880.04
836.08 991777.8
835.08 950258.82
834.08 981263.18
833.08 1024760.65
832.08 917016.13
831.08 678838.97
830.08 550098.59
829.08 498226.92
828.08 484759.43
827.08 474553.36
826.08 455211.89
825.08 448965.91
824.08 449251.58
823.08 456050.1
822.08 445074.81
821.08 447062.32
820.08 444177.31
819.08 440921.48
818.08 450658.65
817.08 442780.24
816.08 437480.16
815.08 438160.88
814.08 430214.16
813.08 432671.37
812.08 424580.24
811.08 427137.09
810.08 441512.39
809.08 438189.69
808.08 435130.66
807.08 433394.16
806.08 442102.76
805.08 449218.2
804.08 453429.87
803.08 450371.83
802.08 445935.58
801.08 447764.66
800.08 452277.17
799.08 450484.63
798.08 463101.67
797.08 486591.77
796.08 512326.35
795.08 523029.43
794.08 506297.04
793.08 455259.23
792.08 426725.12
791.08 417666.68
790.08 427791.4
789.08 440573.7
788.08 435606.41
787.08 431464.35
786.08 429258.91
785.08 436920.3
784.08 442409.59
783.08 473564.8
782.08 516411.9
781.08 577308.6
780.08 626584.86
779.08 612623.27
778.08 486895.41
777.08 376959.59
776.08 353960.31
775.08 341816.04
774.08 334687.02
773.08 329913.77
772.08 318952.78
771.08 315988.14
770.08 308199.15
769.08 293215.43
768.08 280552.02
767.08 268417.56
766.08 253904.76
765.08 241131.42
764.08 247438.93
763.08 241185.58
762.08 254594.33
761.08 250338.44
760.08 254628.9
759.08 245376.31
758.08 249364
757.08 250091.51
756.08 240195.17
755.08 233187.26
754.08 224161.16
753.08 219346.3
752.08 221340.83
751.08 211237.78
750.08 212917.14
749.08 212099.29
748.08 210965.92
747.08 211717.76
746.08 213530.21
745.08 213945.1
744.08 214576.97
743.08 210892.53
742.08 216885.06
741.08 212570.86
740.08 205429.34
739.08 209975.65
738.08 207928.79
737.08 207883.4
736.08 205138.23
735.08 204996.83
734.08 207356.7
733.08 199801.54
732.08 204028.48
731.08 204118.05
730.08 201670.81
729.08 203608.93
728.08 198690.76
727.08 201398.93
726.08 198737.31
725.08 203669.77
724.08 209030.33
723.08 207492.98
722.08 211536.56
721.08 219267.7
720.08 227332.73
719.08 234381.93
718.08 233667.39
717.08 240846.51
716.08 238919.79
715.08 248971.97
714.08 250171.5
713.08 242581.06
712.08 244295.6
711.08 240307.72
710.08 227609.53
709.08 220488.88
708.08 204358.19
707.08 189466.99
706.08 187053.92
705.08 188527.73
704.08 180760.12
703.08 177150.91
702.08 177918.22
701.08 174271.25
700.08 183564
699.08 185417.05
698.08 178508.47
697.08 174490.01
696.08 176720.71
695.08 170642
694.08 169918.45
693.08 167408.71
692.08 158506.08
691.08 157710.63
690.08 160326.51
689.08 160518
688.08 160259.18
687.08 157323.1
686.08 158523.1
685.08 160165.79
684.08 158905.53
683.08 161838.27
682.08 158841.29
681.08 157741
680.08 159228.22
679.08 152049.8
678.08 159368.92
677.08 160909.42
676.08 161311.99
675.08 159346.8
674.08 158820.94
673.08 156972.39
672.08 155699.24
671.08 155474.58
670.08 161476.75
669.08 158573.94
668.08 158237.26
667.08 154478.71
666.08 159337.19
665.08 159561.62
664.08 154019.65
663.08 156787.71
662.08 162928.55
661.08 160425.3
660.08 157326.63
659.08 160091
658.08 156397.36
657.08 161319.48
656.08 161800.41
655.08 155943.62
654.08 160267.44
653.08 163529.65
652.08 154236.69
651.08 157277.58
