Samples4Survey SrIr_0224
1032.08 209248.5
1031.08 212435.0
1030.08 214829.0
1029.08 217158.0
1028.08 209055.0
1027.08 211839.5
1026.08 217174.0
1025.08 210388.5
1024.08 218326.5
1023.08 219455.5
1022.08 217185.0
1021.08 219196.0
1020.08 219672.0
1019.08 218165.0
1018.08 217220.5
1017.08 216687.0
1016.08 219504.5
1015.08 222359.0
1014.08 222626.5
1013.08 226252.5
1012.08 225365.0
1011.08 225674.0
1010.08 231131.0
1009.08 231653.0
1008.08 234489.0
1007.08 230084.0
1006.08 228632.0
1005.08 228892.0
1004.08 226845.0
1003.08 235057.5
1002.08 230984.5
1001.08 226428.5
1000.08 232232.0
999.08 229147.0
998.08 227756.0
997.08 242911.5
996.08 233508.5
995.08 239505.0
994.08 248699.0
993.08 253054.5
992.08 246407.5
991.08 239488.5
990.08 230836.0
989.08 227999.5
988.08 222646.0
987.08 229135.5
986.08 220952.0
985.08 227209.0
984.08 227194.0
983.08 223751.5
982.08 225758.0
981.08 229692.5
980.08 232873.0
979.08 230280.0
978.08 241254.0
977.08 260317.5
976.08 266627.0
975.08 278551.0
974.08 295267.0
973.08 305704.0
972.08 304933.0
971.08 276251.0
970.08 254993.5
969.08 239813.5
968.08 228065.5
967.08 219260.0
966.08 205091.5
965.08 194645.0
964.08 196275.5
963.08 186247.0
962.08 192419.0
961.08 179928.5
960.08 178602.5
959.08 174556.5
958.08 176664.0
957.08 181228.0
956.08 177015.5
955.08 173506.5
954.08 173910.5
953.08 180792.0
952.08 180309.5
951.08 177370.0
950.08 182289.0
949.08 179337.5
948.08 180249.5
947.08 177392.0
946.08 173725.5
945.08 179161.0
944.08 177968.0
943.08 182311.5
942.08 178715.0
941.08 179108.0
940.08 178438.0
939.08 179356.0
938.08 183489.0
937.08 183998.0
936.08 175398.0
935.08 179977.5
934.08 181305.5
933.08 181316.5
932.08 182683.0
931.08 182479.0
930.08 179989.5
929.08 178768.5
928.08 186207.5
927.08 178106.5
926.08 183775.0
925.08 182922.5
924.08 186408.0
923.08 184153.0
922.08 186005.5
921.08 181197.5
920.08 183682.0
919.08 184509.0
918.08 182826.0
917.08 184719.5
916.08 185283.0
915.08 184617.5
914.08 190510.5
913.08 184019.5
912.08 187019.0
911.08 182752.0
910.08 189196.0
909.08 191172.0
908.08 186523.5
907.08 195529.0
906.08 180363.5
905.08 186906.5
904.08 187886.5
903.08 192741.0
902.08 185117.5
901.08 187543.5
900.08 186146.5
899.08 190205.0
898.08 187515.5
897.08 191330.0
896.08 192736.5
895.08 186742.5
894.08 190009.0
893.08 193723.0
892.08 191755.5
891.08 195674.0
890.08 190439.0
889.08 191401.0
888.08 187553.5
887.08 191696.5
886.08 194852.5
885.08 190777.5
884.08 187313.0
883.08 195758.5
882.08 194926.5
881.08 190419.0
880.08 193209.5
879.08 195853.0
878.08 192840.5
877.08 196045.5
876.08 193992.0
875.08 196344.5
874.08 196113.5
873.08 197687.0
872.08 201274.0
871.08 193402.5
870.08 195751.5
869.08 200096.0
868.08 195675.0
867.08 198892.5
866.08 194969.5
865.08 193585.5
864.08 196527.5
863.08 195373.5
862.08 196826.0
861.08 196155.5
860.08 200471.0
859.08 202786.0
858.08 199457.0
857.08 198642.5
856.08 202189.5
855.08 197962.5
854.08 195805.0
853.08 200157.5
852.08 204887.0
851.08 202418.5
850.08 199294.0
849.08 201627.0
848.08 203391.0
847.08 202948.0
846.08 203305.0
845.08 202307.5
844.08 207023.0
843.08 201449.0
842.08 199458.5
841.08 198884.0
840.08 198238.5
839.08 205253.0
838.08 210659.5
837.08 207224.5
836.08 203825.5
835.08 205893.0
834.08 209175.5
833.08 210238.0
832.08 208447.5
831.08 211878.0
830.08 212667.5
829.08 209408.5
828.08 203781.5
827.08 208036.5
826.08 209051.0
825.08 208592.0
824.08 208879.5
823.08 208020.0
822.08 207977.0
821.08 208465.0
820.08 209858.5
819.08 211503.5
818.08 210855.0
817.08 206224.5
816.08 212473.5
815.08 210086.0
814.08 217328.0
813.08 218542.5
812.08 216750.0
811.08 208630.5
810.08 209844.5
809.08 211170.5
808.08 216457.5
807.08 219145.5
806.08 214002.0
805.08 218208.5
804.08 210720.0
803.08 214352.5
802.08 214298.0
801.08 217868.0
800.08 212880.5
799.08 216392.0
798.08 215196.0
797.08 215416.5
796.08 218479.5
795.08 215256.5
794.08 216937.0
793.08 218802.0
792.08 219832.0
791.08 222801.5
790.08 217265.0
789.08 221058.5
788.08 217391.0
787.08 223779.0
786.08 213464.0
785.08 214239.5
784.08 217547.0
783.08 223553.5
782.08 218104.0
781.08 220653.5
780.08 217394.0
779.08 225684.0
778.08 217265.5
777.08 222035.0
776.08 222085.0
775.08 220161.5
774.08 226058.5
773.08 219159.5
772.08 223726.0
771.08 223431.5
770.08 228021.0
769.08 224574.0
768.08 221931.5
767.08 224359.0
766.08 229194.0
765.08 225669.0
764.08 226896.0
763.08 232196.5
762.08 234903.5
761.08 237882.5
760.08 228978.5
759.08 231036.0
758.08 229514.0
757.08 231769.5
756.08 238518.0
755.08 228095.0
754.08 231321.0
753.08 235650.5
752.08 238249.0
751.08 234838.0
750.08 238576.5
749.08 240179.5
748.08 232819.0
747.08 235174.0
746.08 234573.5
745.08 235261.0
744.08 235465.0
743.08 239741.5
742.08 238379.5
741.08 236922.0
740.08 237088.5
739.08 230678.0
738.08 239199.0
737.08 232008.0
736.08 234637.5
735.08 240022.0
734.08 234013.0
733.08 240907.5
732.08 236530.0
731.08 234540.0
730.08 241752.0
729.08 237899.5
728.08 239367.5
727.08 237985.0
726.08 244764.0
725.08 234374.5
724.08 239229.5
723.08 242126.0
722.08 241185.0
721.08 236300.5
720.08 240453.0
719.08 238211.5
718.08 242240.5
717.08 239302.5
716.08 244440.5
715.08 242173.5
714.08 237334.0
713.08 242353.5
712.08 246458.0
711.08 237121.0
710.08 247161.0
709.08 249235.5
708.08 248267.0
707.08 246677.0
706.08 246408.0
705.08 241848.5
704.08 253119.5
703.08 250224.0
702.08 246086.5
701.08 243131.0
700.08 248237.0
699.08 248132.0
698.08 252054.0
697.08 253281.0
696.08 255396.0
695.08 266124.0
694.08 260949.5
693.08 261005.0
692.08 259490.5
691.08 258317.0
690.08 249895.0
689.08 255654.5
688.08 255074.5
687.08 251677.0
686.08 247987.5
685.08 253118.5
684.08 252744.5
683.08 250696.0
682.08 252407.5
681.08 253423.5
680.08 246469.5
679.08 241428.0
678.08 246703.5
677.08 255333.5
676.08 252006.0
675.08 251592.0
674.08 247787.0
673.08 249711.0
672.08 244418.5
671.08 248550.5
670.08 248468.5
669.08 258557.5
668.08 244674.0
667.08 249044.5
666.08 246093.5
665.08 252268.0
664.08 251987.5
663.08 250850.5
662.08 253610.5
661.08 255536.5
660.08 246875.5
659.08 253912.0
658.08 253169.0
657.08 249751.5
656.08 250563.5
655.08 249288.0
654.08 253545.0
653.08 259493.0
652.08 258983.0
651.08 257120.5
650.08 260327.0
649.08 262829.5
648.08 250331.5
647.08 258376.0
646.08 260517.5
645.08 263210.0
644.08 264649.5
643.08 254594.5
642.08 259700.5
641.08 259751.0
640.08 263482.5
639.08 257631.0
638.08 268068.0
637.08 262989.5
636.08 268878.5
635.08 266206.0
634.08 268279.5
633.08 263194.0
632.08 265360.0
631.08 260427.0
630.08 274347.0
629.08 270504.5
628.08 272925.5
627.08 262027.0
626.08 270909.0
625.08 271493.0
624.08 273148.5
623.08 270296.5
622.08 270560.5
621.08 278662.5
620.08 269283.5
619.08 275208.0
618.08 275416.0
617.08 272030.5
616.08 278839.5
615.08 278794.5
614.08 275885.5
613.08 276155.0
612.08 277239.0
611.08 274736.0
610.08 275008.0
609.08 275323.0
608.08 274592.0
607.08 275915.5
606.08 276105.5
605.08 281300.5
604.08 282469.5
603.08 278674.5
602.08 288470.5
601.08 283747.5
600.08 279262.0
599.08 282587.0
598.08 284884.0
597.08 281331.5
596.08 280462.5
595.08 282478.5
594.08 282414.0
593.08 289205.5
592.08 288504.0
591.08 284502.5
590.08 281278.0
589.08 290752.0
588.08 288650.0
587.08 284352.0
586.08 283877.5
585.08 294669.5
584.08 291454.5
583.08 300570.5
582.08 298951.0
581.08 299367.5
580.08 304943.0
579.08 304625.5
578.08 297991.5
577.08 291477.0
576.08 290536.5
575.08 286949.0
574.08 285493.0
573.08 285148.5
572.08 285117.5
571.08 290219.5
570.08 285657.5
569.08 284241.5
568.08 289961.0
567.08 291566.0
566.08 286821.5
565.08 294834.0
564.08 289422.5
563.08 297586.0
562.08 292335.0
561.08 293752.0
560.08 289107.5
559.08 291981.5
558.08 285603.5
557.08 286989.5
556.08 279551.0
555.08 284999.0
554.08 286436.5
553.08 279363.5
552.08 283635.0
551.08 291533.5
550.08 285209.5
549.08 287649.0
548.08 286508.5
547.08 287926.5
546.08 277436.5
545.08 277376.0
544.08 286868.5
543.08 278103.5
542.08 282271.5
541.08 272772.0
540.08 274675.5
539.08 267055.5
538.08 268038.0
537.08 266155.5
536.08 263263.5
535.08 275715.5
534.08 294796.5
533.08 354755.0
532.08 449877.5
531.08 557835.0
530.08 644130.0
529.08 568400.0
528.08 357107.5
527.08 257174.5
526.08 240692.5
525.08 237159.5
524.08 232798.0
523.08 231775.0
522.08 229591.0
521.08 230903.0
520.08 224528.0
519.08 226994.0
518.08 231424.5
517.08 225818.5
516.08 225911.0
515.08 225550.0
514.08 232383.5
513.08 232693.5
512.08 232161.0
511.08 229446.5
510.08 230813.0
509.08 240012.5
508.08 237380.0
507.08 240797.0
506.08 242206.5
505.08 231155.5
504.08 231680.0
503.08 245226.5
502.08 246704.5
501.08 254595.0
500.08 267226.0
499.08 283450.0
498.08 291784.0
497.08 297793.5
496.08 291825.0
495.08 284271.0
494.08 267108.0
493.08 249349.0
492.08 235279.5
491.08 224226.5
490.08 218831.5
489.08 217749.5
488.08 215754.0
487.08 211240.5
486.08 208055.0
485.08 206185.5
484.08 206896.0
483.08 208052.0
482.08 204386.5
481.08 208433.0
480.08 208571.5
479.08 204058.0
478.08 210295.5
477.08 206636.0
476.08 214391.5
475.08 209758.5
474.08 213152.0
473.08 211085.0
472.08 200202.0
471.08 207773.0
470.08 202735.0
469.08 204018.0
468.08 214898.5
467.08 209312.5
466.08 204408.5
465.08 209570.5
464.08 210253.5
463.08 217840.0
462.08 205801.5
461.08 209810.0
460.08 210265.5
459.08 212294.0
458.08 213332.0
457.08 213057.0
456.08 217396.0
455.08 219300.5
454.08 208299.0
453.08 212064.0
452.08 220445.0
451.08 217296.5
450.08 219494.5
449.08 221085.0
448.08 217653.5
447.08 221795.5
446.08 222156.5
445.08 218353.5
444.08 223769.0
443.08 221912.0
442.08 223293.0
441.08 220624.5
440.08 224313.5
439.08 224358.0
438.08 221934.5
437.08 223269.5
436.08 229525.0
435.08 229858.0
434.08 226779.5
433.08 227916.0
432.08 226578.0
431.08 231600.5
430.08 228403.0
429.08 229298.0
428.08 231847.0
427.08 231347.0
426.08 233481.0
425.08 234266.5
424.08 235640.0
423.08 230698.5
422.08 237982.5
421.08 231920.5
420.08 239269.5
419.08 238306.0
418.08 236270.0
417.08 236486.5
416.08 252236.5
415.08 242888.5
414.08 242963.5
413.08 237517.5
412.08 243771.5
411.08 240381.5
410.08 242457.0
409.08 254149.0
408.08 243611.0
407.08 254316.5
406.08 237941.5
405.08 245472.5
404.08 242903.0
403.08 247078.0
402.08 258220.5
401.08 252242.5
400.08 261685.5
399.08 265689.5
398.08 263682.0
397.08 261452.5
396.08 256046.5
395.08 255528.0
394.08 246619.0
393.08 259246.0
392.08 253745.0
391.08 254556.0
390.08 251104.0
389.08 257262.0
388.08 257701.5
387.08 255920.5
386.08 257162.5
385.08 256132.5
384.08 263787.0
383.08 258357.5
382.08 263336.0
381.08 262575.5
380.08 265157.0
379.08 263050.5
378.08 255290.0
377.08 259197.5
376.08 266210.0
375.08 264113.5
374.08 274373.5
373.08 257824.0
372.08 262426.5
371.08 266271.5
370.08 272259.5
369.08 265496.5
368.08 273134.5
367.08 279288.5
366.08 273833.5
365.08 276701.5
364.08 277248.5
363.08 280161.5
362.08 278653.5
361.08 282617.0
360.08 290948.0
359.08 301690.5
358.08 320081.0
357.08 321174.5
356.08 321405.5
355.08 315892.0
354.08 302112.5
353.08 292968.0
352.08 292273.5
351.08 284697.5
350.08 287398.0
349.08 289998.5
348.08 292155.0
347.08 289058.5
346.08 289766.0
345.08 289006.0
344.08 297802.5
343.08 282447.5
342.08 279064.0
341.08 284279.0
340.08 293647.0
339.08 285184.5
338.08 293187.0
337.08 295923.0
336.08 299844.0
335.08 297930.0
334.08 289408.0
333.08 290347.0
332.08 292838.5
331.08 293592.5
330.08 299714.0
329.08 291578.0
328.08 296577.0
327.08 296849.0
326.08 293095.0
325.08 291439.0
324.08 298048.0
323.08 289764.5
322.08 298262.5
321.08 295394.5
320.08 303437.0
319.08 315254.5
318.08 328951.5
317.08 348728.0
316.08 366341.5
315.08 393820.5
314.08 410758.5
313.08 398947.5
312.08 369771.0
311.08 333390.5
310.08 307622.5
309.08 288525.0
308.08 279167.0
307.08 269163.5
306.08 264873.5
305.08 267845.5
304.08 280211.0
303.08 295903.0
302.08 317444.0
301.08 342108.0
300.08 391713.5
299.08 417125.5
298.08 431062.5
297.08 396763.5
296.08 325318.0
295.08 270375.5
294.08 236589.5
293.08 209241.0
292.08 193578.0
291.08 186422.0
290.08 183565.0
289.08 188878.5
288.08 178998.5
287.08 180868.0
286.08 197132.5
285.08 202938.5
284.08 194832.0
283.08 172585.0
282.08 172278.5
281.08 192671.5
280.08 221198.5
279.08 263632.5
278.08 272399.0
277.08 229540.0
276.08 179578.5
275.08 162407.0
274.08 148027.0
273.08 157141.5
272.08 160653.5
271.08 189878.5
270.08 235544.0
269.08 313905.0
268.08 355053.0
267.08 317498.5
266.08 224420.0
265.08 162866.0
264.08 136272.0
263.08 126248.5
262.08 122745.5
261.08 117838.5
260.08 116578.0
259.08 114390.5
258.08 117197.5
257.08 111962.0
256.08 112535.0
255.08 114367.5
254.08 114722.5
253.08 114571.0
252.08 112630.0
251.08 108205.0
250.08 117753.0
249.08 108252.5
248.08 112648.5
247.08 112003.5
246.08 115661.5
245.08 112798.5
244.08 111205.5
243.08 115763.5
242.08 118048.0
241.08 112893.5
240.08 116040.5
239.08 115771.5
238.08 112617.5
