Samples4Survey LaCo_0122
1350.08 887143.68
1349.08 886956.57
1348.08 866692.57
1347.08 867184.41
1346.08 865079.38
1345.08 856597.95
1344.08 855043.92
1343.08 855089.31
1342.08 841811.78
1341.08 849434.53
1340.08 848344.19
1339.08 838433.69
1338.08 839455.72
1337.08 836255.47
1336.08 834762.5
1335.08 816788.27
1334.08 824463.92
1333.08 813848.86
1332.08 815258.22
1331.08 808270.32
1330.08 811956.73
1329.08 794211.97
1328.08 800374.81
1327.08 807099.53
1326.08 779387.97
1325.08 794316.95
1324.08 775565.39
1323.08 788085.35
1322.08 784835.41
1321.08 777191.82
1320.08 785511.89
1319.08 766502.24
1318.08 776068.91
1317.08 751657.34
1316.08 762843.21
1315.08 767668.43
1314.08 760006.6
1313.08 746359.65
1312.08 779026.41
1311.08 754197.5
1310.08 751285
1309.08 751604.26
1308.08 747676.55
1307.08 739594.18
1306.08 743127.48
1305.08 729184.71
1304.08 744018.47
1303.08 741626.35
1302.08 738234.8
1301.08 738466.57
1300.08 740594.61
1299.08 732742.54
1298.08 728364.23
1297.08 728276.91
1296.08 738509.71
1295.08 724215.54
1294.08 723755.92
1293.08 713306.44
1292.08 730384.98
1291.08 724728.23
1290.08 737115.9
1289.08 715107.56
1288.08 709591.96
1287.08 708347.45
1286.08 717227.78
1285.08 705409.58
1284.08 707459.91
1283.08 720602.27
1282.08 710898.78
1281.08 721739.93
1280.08 715048.89
1279.08 708949.29
1278.08 712865.34
1277.08 719333.19
1276.08 714907.92
1275.08 708944.09
1274.08 715007.01
1273.08 714987.11
1272.08 714780
1271.08 724181.1
1270.08 710632.31
1269.08 701613.27
1268.08 690942.47
1267.08 712314.04
1266.08 709902.65
1265.08 727323.12
1264.08 713664.56
1263.08 705274.08
1262.08 718200.42
1261.08 728004.43
1260.08 717470.71
1259.08 701166.58
1258.08 721937.92
1257.08 707915.98
1256.08 717956.88
1255.08 709491.37
1254.08 697856.87
1253.08 707311.29
1252.08 718740.1
1251.08 714203.81
1250.08 722524.31
1249.08 708729.54
1248.08 702190.15
1247.08 719221.08
1246.08 712239.3
1245.08 718708.78
1244.08 719424.47
1243.08 712638.49
1242.08 713203.05
1241.08 716273.59
1240.08 709438.69
1239.08 730077.81
1238.08 706420.04
1237.08 709514.29
1236.08 721590.4
1235.08 715976.67
1234.08 715744.56
1233.08 707989.9
1232.08 720369.48
1231.08 725430.99
1230.08 712534.45
1229.08 718608.38
1228.08 725577.88
1227.08 729137.86
1226.08 715320.73
1225.08 709356.93
1224.08 725723.61
1223.08 717646.34
1222.08 721196.12
1221.08 717073.58
1220.08 710720.06
1219.08 716137.09
1218.08 706966.98
1217.08 722015.86
1216.08 717027.93
1215.08 710521.04
1214.08 703103.33
1213.08 697530.96
1212.08 714778.53
1211.08 717035.28
1210.08 717919.27
1209.08 726753.21
1208.08 719225.09
1207.08 720860.64
1206.08 724535.81
1205.08 717265.09
1204.08 718079.5
1203.08 704648.96
1202.08 698069.67
1201.08 689889.53
1200.08 689252.12
1199.08 696469.9
1198.08 701805.58
1197.08 690885.01
1196.08 682962.84
1195.08 695742.11
1194.08 695433.67
1193.08 695444.78
1192.08 707798.57
1191.08 692503.54
1190.08 687832.1
1189.08 692999.38
1188.08 691646.61
1187.08 703135.92
1186.08 688384.58
1185.08 696876.18
1184.08 696190.39
1183.08 689401.33
1182.08 704211.37
1181.08 702388.88
1180.08 689350.87
1179.08 710882.09
1178.08 702810.88
1177.08 704569.52
1176.08 704994.64
1175.08 689415.64
1174.08 714183.45
1173.08 705275.74
1172.08 712284.46
1171.08 706738.2
1170.08 706612.93
1169.08 714579.23
1168.08 705088.03
1167.08 712828.94
1166.08 718174.09
1165.08 709732.56
1164.08 719956.33
1163.08 708124.65
1162.08 725967.4
1161.08 718871.82
1160.08 719419.95
1159.08 722141.38
1158.08 721969.98
1157.08 726528.96
1156.08 706355.76
1155.08 725721.5
1154.08 724590.24
1153.08 726316.44
1152.08 725638.31
1151.08 728181.73
1150.08 720631.24
1149.08 717021.07
1148.08 722396.74
1147.08 728574.27
1146.08 715827.89
1145.08 714160.08
1144.08 727202.39
1143.08 715195.34
1142.08 714862.38
1141.08 728852.82
1140.08 718513.78
1139.08 729518.07
1138.08 719160.71
1137.08 729680.64
1136.08 727099.22
1135.08 740302.74
1134.08 726594.17
