Samples4Survey LaCo_0211
1031.08 834074.78
1030.08 823475.99
1029.08 834034.82
1028.08 824983.08
1027.08 830769.38
1026.08 832548.41
1025.08 840776.14
1024.08 830231.11
1023.08 829071.99
1022.08 846139.06
1021.08 831721.79
1020.08 838609.06
1019.08 834717.07
1018.08 836021.67
1017.08 828552.48
1016.08 838193.53
1015.08 840712.21
1014.08 838535.36
1013.08 825907.77
1012.08 834948.65
1011.08 844592.15
1010.08 852659.48
1009.08 843832.76
1008.08 856280.5
1007.08 848925.95
1006.08 852899.2
1005.08 835535.51
1004.08 843689.49
1003.08 837620.72
1002.08 856152.01
1001.08 861800.09
1000.08 857489.13
999.08 855983.24
998.08 851858.85
997.08 869343.2
996.08 865449.86
995.08 875568.21
994.08 886263.81
993.08 867224.65
992.08 880625.84
991.08 881582.73
990.08 873255.31
989.08 855982.79
988.08 866469.06
987.08 869738.54
986.08 860217.44
985.08 867164.56
984.08 861611.28
983.08 872002.22
982.08 875818.42
981.08 861344.6
980.08 879742.56
979.08 859768.27
978.08 865559.72
977.08 894656.25
976.08 914466.7
975.08 920240.26
974.08 944907.98
973.08 966630.19
972.08 959192.31
971.08 935403.19
970.08 898395.43
969.08 893017.06
968.08 869271.72
967.08 853297.21
966.08 851776.66
965.08 833702.71
964.08 835545.86
963.08 824435.61
962.08 832392.68
961.08 822582.37
960.08 814372.25
959.08 816597.53
958.08 828840.09
957.08 823432.84
956.08 835766.81
955.08 823806.88
954.08 832289.92
953.08 825103.84
952.08 810607.83
951.08 808744.08
950.08 819387.9
949.08 797189.18
948.08 795400.39
947.08 791009.69
946.08 781282.53
945.08 799407.38
944.08 792500.58
943.08 781750.37
942.08 792371.18
941.08 788343.82
940.08 790227.77
939.08 794326.94
938.08 788370.79
937.08 790737.05
936.08 797854.37
935.08 788726.49
934.08 794598.92
933.08 787012.36
932.08 780547.6
931.08 788381.87
930.08 797105.72
929.08 796554.24
928.08 808525.78
927.08 798738.52
926.08 814924.58
925.08 803380.26
924.08 781712.49
923.08 794332.35
922.08 803171.68
921.08 787465.72
920.08 783702.96
919.08 798094.61
918.08 791385.59
917.08 795565.73
916.08 802740.22
915.08 806616.1
914.08 796539.42
913.08 815977.17
912.08 810778.33
911.08 826035.3
910.08 805666.29
909.08 815610.45
908.08 807460.31
907.08 817984.04
906.08 823092.42
905.08 826818.11
904.08 830598.49
903.08 825722.18
902.08 825077.61
901.08 840608.17
900.08 845938.47
899.08 845562.28
898.08 854900.2
897.08 850347.83
896.08 858739.76
895.08 864400.81
894.08 859690.31
893.08 861301.25
892.08 875324.92
891.08 863479.86
890.08 876242.89
889.08 875597.34
888.08 881863.33
887.08 884894.83
886.08 893258.17
885.08 890284.97
884.08 894630.98
883.08 901060.65
882.08 902524.35
881.08 896225.41
880.08 892428.89
879.08 902203.52
878.08 896553.26
877.08 900349.03
876.08 893752.13
875.08 894763.48
874.08 899910.79
873.08 902303.68
872.08 908357.48
871.08 921922.16
870.08 938559.27
869.08 942037.21
868.08 964738.15
867.08 973840.89
866.08 986776.87
865.08 987680.19
864.08 1001960.88
863.08 1000740.04
862.08 990450.25
861.08 952122.41
860.08 940028.52
859.08 918407.7
858.08 923898.76
857.08 940678.39
856.08 1026530.29
855.08 1136059.65
854.08 1161838.63
853.08 1112641.94
852.08 1115318.19
851.08 1184911.26
850.08 1164877.89
849.08 992181.47
848.08 819973.7
847.08 738053.86
846.08 708896.91
845.08 682205.28
844.08 651622.39
843.08 616281.47
842.08 611317.31
841.08 617808.2
840.08 688824.44
839.08 860369.68
838.08 1044558.18
837.08 1070982.9
836.08 998279.54
835.08 1023791.16
834.08 1106992.69
833.08 1036277.07
832.08 754607.97
831.08 518946.83
830.08 431182.7
829.08 399722.25
828.08 383970.95
827.08 372196.28
826.08 363261.89
825.08 367681.74
824.08 358376.3
823.08 362348.56
822.08 355427.92
821.08 347544.6
820.08 353298.12
819.08 350555.4
818.08 350496.17
817.08 351607.5
816.08 342276.41
815.08 346053.94
814.08 341782.84
813.08 348159.57
812.08 350743.85
811.08 342431.61
810.08 352746.09
809.08 349012.55
808.08 345009.49
807.08 352555.19
806.08 345725.14
805.08 339990.99
804.08 338824.27
803.08 334146.04
802.08 330304.21
801.08 327286.53
800.08 333859.02
799.08 334713.76
798.08 350082.68
797.08 379582.67
796.08 395443.41
795.08 396453.5
794.08 379971.33
793.08 339300.54
792.08 332685.32
791.08 326922.28
790.08 335787.4
789.08 322191.91
788.08 322410.78
787.08 306683.36
786.08 311431.28
785.08 308970.61
784.08 324247.58
783.08 351805.91
782.08 374952.66
781.08 429773.22
780.08 469746.31
779.08 417162.04
778.08 327733.8
777.08 292944.36
776.08 279970.12
775.08 289216.06
774.08 277990.94
773.08 270994.78
772.08 264513.77
771.08 254473.29
770.08 245589.51
769.08 234245.16
768.08 229115.22
767.08 216470.79
766.08 215482.38
765.08 213927.65
764.08 216628.04
763.08 224851.31
762.08 225203.26
761.08 227230.89
760.08 232017.11
759.08 232314.97
758.08 227053.05
757.08 222411.27
756.08 209580.78
755.08 200580.75
754.08 195038.49
753.08 192690.78
752.08 186624.86
751.08 185127.97
750.08 186904.72
749.08 184726.41
748.08 190178.32
747.08 178765.8
746.08 186808.89
745.08 190952.86
744.08 186131.94
743.08 185054.17
742.08 182356.27
741.08 171939.36
740.08 181459.39
739.08 179808.76
738.08 172342.51
737.08 170021.31
736.08 169311.55
735.08 173720.12
734.08 169245.81
733.08 172623.74
732.08 173131.02
731.08 168971.69
730.08 164211.76
729.08 164432.85
728.08 163851.4
727.08 163657.48
726.08 170084.22
725.08 164635.97
724.08 172796.72
723.08 171220.9
722.08 172230.98
721.08 171457.13
720.08 175539.89
719.08 187995.29
718.08 189772.51
717.08 182321.5
716.08 199873.98
715.08 195267.11
714.08 195629.18
713.08 191849.89
712.08 189431.36
711.08 188771.49
710.08 183824.61
709.08 173355.01
708.08 164123.65
707.08 160982.29
706.08 157708.5
705.08 151958.37
704.08 153561.11
703.08 153798.32
702.08 154979.77
701.08 154006.74
700.08 154326.79
699.08 156133.11
698.08 155761.82
697.08 149449
696.08 152697.61
695.08 150005.73
694.08 146626.99
693.08 143339.31
692.08 141232.98
691.08 146951.82
690.08 140816.23
689.08 142195.62
688.08 142493.7
687.08 140220.95
686.08 142405.32
685.08 141453.08
684.08 141886.31
683.08 138557.61
682.08 144846.95
681.08 144517.92
680.08 142144.67
679.08 145588.36
678.08 139780.37
677.08 143607.23
676.08 146069.22
675.08 145691.38
674.08 143670.26
673.08 143762.89
672.08 143773.73
671.08 148052.98
670.08 145233.99
669.08 143769.23
668.08 140196.92
667.08 143712.47
666.08 142239.89
665.08 146371.47
664.08 145005.66
663.08 139750.03
662.08 142557.9
661.08 144691.64
660.08 138600.83
659.08 141230.49
658.08 148372.21
657.08 142581.62
656.08 144986.37
655.08 138859.43
654.08 142390.32
653.08 140291.15
652.08 142474.49
651.08 143306.49
650.08 145711.26
649.08 141898.86
648.08 143354.22
647.08 145908.12
646.08 144145.53
645.08 144410.84
644.08 147824.61
643.08 146169.23
642.08 146566
641.08 144575.05
640.08 145470.14
639.08 142834.27
638.08 148184.35
637.08 145252.87
636.08 142558.97
635.08 145656.46
634.08 149149.72
633.08 145792.24
632.08 148096.7
631.08 144845.26
630.08 148844.81
629.08 144944.62
628.08 147906.39
627.08 144883.45
626.08 146542.39
625.08 148436.68
624.08 146741.96
623.08 150653.56
622.08 149948.5
621.08 149547.14
620.08 149036.24
619.08 151115.02
618.08 149108.15
617.08 148996.8
616.08 150587.22
615.08 148004.92
614.08 151051.5
613.08 155278.04
612.08 151540.17
611.08 156159.12
610.08 152422.84
609.08 151893.44
608.08 152541.65
607.08 149968.43
606.08 152929.83
605.08 155961.07
604.08 152128.87
603.08 158108.94
602.08 154170.11
601.08 153125.95
600.08 157201.1
599.08 157860.5
598.08 155375.54
597.08 156420.22
596.08 156361.14
595.08 156346.49
594.08 157023.09
593.08 160437.04
592.08 155636.61
591.08 158837.9
590.08 152791.27
589.08 158315.61
588.08 159021.73
587.08 160832.2
586.08 159608.18
585.08 159545.34
584.08 156784.42
583.08 159657.59
582.08 158324.09
581.08 158862.35
580.08 158186.57
579.08 163273.14
578.08 166952.47
577.08 162493.21
576.08 160638.27
575.08 161091.85
574.08 161070.03
573.08 160467.35
572.08 162426.66
571.08 164796.94
570.08 166410.38
569.08 161737.7
568.08 164049.58
567.08 166823.96
566.08 161960.96
565.08 164317.97
564.08 162814.17
563.08 173763.56
562.08 172250.63
561.08 171679.72
560.08 174845.29
559.08 173260.87
558.08 174165.39
557.08 168375.3
556.08 163656.59
555.08 164889.83
554.08 164581.87
553.08 160437.46
552.08 159369.16
551.08 154415.19
550.08 156769.93
549.08 160290.23
548.08 160977.48
547.08 161012.12
546.08 154512.73
545.08 152243.89
544.08 158854.65
543.08 157765.36
542.08 157608.9
541.08 150567.56
540.08 147969.92
539.08 140640.26
538.08 137549.48
537.08 129840.93
536.08 127055.33
535.08 134646.78
534.08 151535.24
533.08 190105.84
532.08 249940.4
531.08 330307.49
530.08 456899.68
529.08 565220.31
528.08 364519.68
527.08 153946.04
526.08 111982.21
525.08 107787.76
524.08 106393.95
523.08 102935.24
522.08 100554.78
521.08 97233.4
520.08 100346.26
519.08 99763.14
518.08 100793.01
517.08 99529.64
516.08 98916.52
515.08 98008.49
514.08 97200.72
513.08 96296.88
512.08 99552.23
511.08 100082.61
510.08 97563.1
509.08 96834.43
508.08 97820.98
507.08 97366.48
506.08 101865.34
505.08 99731.6
504.08 98667.12
503.08 96218.96
502.08 101969.37
501.08 99165.91
500.08 100589.59
499.08 96430.6
498.08 106277.39
497.08 105034.18
496.08 106864.89
495.08 99811.6
494.08 101358.81
493.08 100349.88
492.08 101194.35
491.08 97476.1
490.08 100516.91
489.08 102638.68
488.08 98650.63
487.08 99256.99
486.08 102579.78
485.08 100936.1
484.08 101918.5
483.08 98760.97
482.08 96416.02
481.08 100060.28
480.08 98524.44
479.08 99284.29
478.08 95664.53
477.08 100504.44
476.08 95961.58
475.08 98428.96
474.08 97506.11
473.08 99814.35
472.08 101641.01
471.08 101094.71
470.08 99487.5
469.08 101875.9
468.08 103306.75
467.08 102384.2
466.08 99772.83
465.08 101095.83
464.08 100383.87
463.08 102569.99
462.08 98955.76
461.08 99203.83
460.08 102302.58
459.08 99429.59
458.08 105011.61
457.08 99174.35
456.08 97922.65
455.08 104105.56
454.08 104414.68
453.08 102719.1
452.08 107761.75
451.08 104987.02
450.08 105751.41
449.08 100971.78
448.08 102228.65
447.08 106293.02
446.08 108856.38
445.08 103211.4
444.08 106572.96
443.08 103108.66
442.08 104918.49
441.08 108742.97
440.08 105825.46
439.08 107516.93
438.08 106959.16
437.08 104578.99
436.08 106358.2
435.08 105020.77
434.08 107475.13
433.08 109364.27
432.08 109254.02
431.08 105494.37
430.08 106086.24
429.08 105161.27
428.08 107184.33
427.08 108615.01
426.08 107772.76
425.08 109809.22
424.08 106357.14
423.08 106530.27
422.08 110542.88
421.08 106740.03
420.08 106722.84
419.08 113719.41
418.08 111085.41
417.08 113562
416.08 124329.41
415.08 121633.89
414.08 120480.37
413.08 112470.91
412.08 111441.04
411.08 109076.27
410.08 106481.83
409.08 107164.25
408.08 111817.62
407.08 109491.24
406.08 108357.64
405.08 110189.24
404.08 108699.74
403.08 111710.33
402.08 111966.59
401.08 114704.72
400.08 121889.32
399.08 128578.27
398.08 134864.37
397.08 128118.62
396.08 120672.94
395.08 114261.18
394.08 117031
393.08 106769.48
392.08 103810.22
391.08 110026.35
390.08 110423.04
389.08 108429.86
388.08 111685.08
387.08 110925.93
386.08 112583.31
385.08 107370.34
384.08 105772.39
383.08 107544.62
382.08 108882.21
381.08 110889.21
380.08 108912.69
379.08 110564.15
378.08 109172.55
377.08 109206.79
376.08 111716.4
375.08 108111.48
374.08 110255.39
373.08 109995.26
372.08 109356.9
371.08 111946.17
370.08 111974.08
369.08 107417.56
368.08 111189.53
367.08 114277.17
366.08 112421.63
365.08 110646.98
364.08 109338.86
363.08 111488.37
362.08 114627.48
361.08 112530.37
360.08 114640.97
359.08 108328.55
358.08 109125.01
357.08 115381.82
356.08 115397.07
355.08 115785.41
354.08 110952.93
353.08 115601.48
352.08 113258.2
351.08 113594.18
350.08 117788.9
349.08 114433.29
348.08 117870.23
347.08 117459.6
346.08 113061.45
345.08 116435.87
344.08 121772.05
343.08 117193.59
342.08 116867.71
341.08 117647.95
340.08 120432.94
339.08 116168
338.08 114878.01
337.08 113314.61
336.08 116873.17
335.08 117802.57
334.08 119850.34
333.08 119516.67
332.08 120212.93
331.08 122228.4
330.08 117542.28
329.08 114025.02
328.08 117489.78
327.08 120708.84
326.08 124648.57
325.08 122025.05
324.08 124121
323.08 119083.7
322.08 116705.34
321.08 119888.5
320.08 124768.8
319.08 120637.81
318.08 121473.52
317.08 121514.83
316.08 121938.17
315.08 124270.35
314.08 123536.65
313.08 128482.26
312.08 124302.87
311.08 125809.76
310.08 124791.37
