Samples4Survey LaCo_0605_2
1350.08 796056.22
1349.08 789297.62
1348.08 797771.32
1347.08 775612.13
1346.08 778178.06
1345.08 777779.84
1344.08 777442.77
1343.08 768823.7
1342.08 766971.55
1341.08 772801.3
1340.08 745776.36
1339.08 751530.98
1338.08 739064.43
1337.08 739927.25
1336.08 718219.74
1335.08 711183.86
1334.08 722985.86
1333.08 710145.29
1332.08 712999.83
1331.08 719158.82
1330.08 717371.99
1329.08 713018.53
1328.08 695852.64
1327.08 703345.27
1326.08 675378.84
1325.08 685344.52
1324.08 682922.94
1323.08 686291.69
1322.08 678341.74
1321.08 694691.47
1320.08 676679.09
1319.08 676212.68
1318.08 667856.54
1317.08 667625.23
1316.08 663750.38
1315.08 673181.39
1314.08 664739.07
1313.08 674530.1
1312.08 656898.72
1311.08 647666.83
1310.08 645066.73
1309.08 655395.2
1308.08 656789.58
1307.08 638062.93
1306.08 630991.79
1305.08 639467.83
1304.08 643556.81
1303.08 628072.14
1302.08 635012.53
1301.08 636893.14
1300.08 619269.28
1299.08 626584.21
1298.08 625985.08
1297.08 623890.32
1296.08 633367.08
1295.08 622252.79
1294.08 626816.06
1293.08 614793.1
1292.08 617034.71
1291.08 605271.24
1290.08 615363.37
1289.08 615235.2
1288.08 605130.94
1287.08 608105.96
1286.08 614605.04
1285.08 607233.13
1284.08 608959.02
1283.08 603387.82
1282.08 604733.12
1281.08 598421.93
1280.08 602173.48
1279.08 594336.53
1278.08 602124.27
1277.08 600191.04
1276.08 607030.35
1275.08 594890.07
1274.08 588964.41
1273.08 594299.09
1272.08 594926.03
1271.08 592150.66
1270.08 590411.12
1269.08 581191.1
1268.08 600093.48
1267.08 599791.06
1266.08 587568.18
1265.08 600769.84
1264.08 593608.51
1263.08 592706.15
1262.08 596834.4
1261.08 587924.19
1260.08 588073.34
1259.08 596149.87
1258.08 597923.01
1257.08 594143.61
1256.08 586385.43
1255.08 604898.92
1254.08 586184.37
1253.08 588268.91
1252.08 585783.12
1251.08 599926.62
1250.08 596649.73
1249.08 581811.69
1248.08 592692.64
1247.08 589914.01
1246.08 590022.39
1245.08 588269.62
1244.08 599587.8
1243.08 585690.01
1242.08 602766.69
1241.08 583270.04
1240.08 588615.27
1239.08 588676.23
1238.08 593721.18
1237.08 599742.35
1236.08 594910.2
1235.08 599310.98
1234.08 589757.23
1233.08 595813.8
1232.08 609849.48
1231.08 597678.34
1230.08 609548.4
1229.08 595360.18
1228.08 598153.01
1227.08 593369.31
1226.08 607729.94
1225.08 596542.36
1224.08 607321.23
1223.08 610227.05
1222.08 610166.76
1221.08 604905.27
1220.08 603238.09
1219.08 608110.78
1218.08 596964.42
1217.08 597719.94
1216.08 594987.34
1215.08 588886.32
1214.08 599023.77
1213.08 595923.85
1212.08 600723.72
1211.08 597026.44
1210.08 602484.74
1209.08 605898.03
1208.08 601029.13
1207.08 599479.03
1206.08 609006.09
1205.08 616113.24
1204.08 599924.28
1203.08 596252.19
1202.08 601254.2
1201.08 592664.22
1200.08 600275.47
1199.08 594295.32
1198.08 593168.24
1197.08 604038.66
1196.08 584189.81
1195.08 592111.58
1194.08 577907.87
1193.08 591917.33
1192.08 592719.86
1191.08 590223.41
1190.08 592882.85
1189.08 598361.07
1188.08 594039.38
1187.08 602604.19
1186.08 592319.75
1185.08 594805.59
1184.08 602570.68
1183.08 595450.03
1182.08 596226.73
1181.08 602425.02
1180.08 609702.82
1179.08 603915.36
1178.08 596298.37
1177.08 599592.87
1176.08 593441.23
1175.08 613402.15
1174.08 615205.98
1173.08 620560.56
1172.08 610146.99
1171.08 608706.09
1170.08 624060.02
1169.08 611967.11
1168.08 622473.57
1167.08 621131.7
1166.08 619877.24
1165.08 617409.11
1164.08 619160.04
1163.08 628085.36
1162.08 622915.2
1161.08 625104.73
1160.08 633496.87
