Samples4Survey SrIr_0225
1350.08 204287.00
1349.08 202211.50
1348.08 200759.00
1347.08 204013.50
1346.08 199746.00
1345.08 197561.50
1344.08 201803.00
1343.08 199928.50
1342.08 203021.00
1341.08 203261.50
1340.08 196855.00
1339.08 201150.00
1338.08 203136.00
1337.08 202564.50
1336.08 195792.00
1335.08 198394.00
1334.08 199898.50
1333.08 199907.50
1332.08 195499.00
1331.08 196133.00
1330.08 198535.50
1329.08 195368.50
1328.08 195541.00
1327.08 199251.00
1326.08 196772.50
1325.08 198520.50
1324.08 196616.00
1323.08 198474.00
1322.08 196612.00
1321.08 190781.50
1320.08 188739.00
1319.08 197003.50
1318.08 193666.50
1317.08 193483.00
1316.08 190422.00
1315.08 193647.00
1314.08 187588.00
1313.08 192159.00
1312.08 184245.00
1311.08 180505.00
1310.08 179471.00
1309.08 180065.50
1308.08 174867.50
1307.08 177340.00
1306.08 179543.50
1305.08 176017.50
1304.08 176151.00
1303.08 178752.00
1302.08 177228.50
1301.08 174845.00
1300.08 173819.00
1299.08 173012.50
1298.08 171681.50
1297.08 169134.00
1296.08 168584.50
1295.08 169651.00
1294.08 167661.50
1293.08 168458.00
1292.08 172254.50
1291.08 171867.00
1290.08 170681.50
1289.08 165160.00
1288.08 171789.00
1287.08 167971.00
1286.08 173294.50
1285.08 162456.50
1284.08 169744.00
1283.08 165819.00
1282.08 168948.50
1281.08 170457.00
1280.08 169063.00
1279.08 168268.00
1278.08 167623.00
1277.08 171382.50
1276.08 167696.50
1275.08 169069.50
1274.08 170182.00
1273.08 165564.00
1272.08 166128.00
1271.08 172193.50
1270.08 166088.50
1269.08 169073.50
1268.08 167209.50
1267.08 172020.00
1266.08 169548.50
1265.08 168227.50
1264.08 171258.50
1263.08 169446.00
1262.08 170038.50
1261.08 175627.00
1260.08 177268.00
1259.08 170954.50
1258.08 177657.50
1257.08 174644.00
1256.08 176706.00
1255.08 171485.00
1254.08 173238.50
1253.08 174881.00
1252.08 171154.00
1251.08 173714.00
1250.08 170702.50
1249.08 169743.50
1248.08 171943.50
1247.08 169743.50
1246.08 177494.00
1245.08 175003.50
1244.08 173745.50
1243.08 175153.50
1242.08 168957.00
1241.08 171194.00
1240.08 167774.00
1239.08 173446.50
1238.08 172364.50
1237.08 169696.50
1236.08 169312.00
1235.08 170685.50
1234.08 173464.50
1233.08 170411.00
1232.08 170767.50
1231.08 174008.00
1230.08 173085.50
1229.08 176047.00
1228.08 186044.00
1227.08 177374.50
1226.08 171377.50
1225.08 180670.00
1224.08 182646.00
1223.08 174052.50
1222.08 175256.00
1221.08 171321.00
1220.08 174671.00
1219.08 175577.00
1218.08 177028.50
1217.08 171238.50
1216.08 168577.50
1215.08 171518.50
1214.08 166752.50
1213.08 171020.50
1212.08 167438.50
1211.08 167733.50
1210.08 168712.50
1209.08 170089.00
1208.08 164302.00
1207.08 165621.50
1206.08 165906.00
1205.08 162940.00
1204.08 166616.50
1203.08 160951.00
1202.08 167019.50
1201.08 173314.50
1200.08 165067.00
1199.08 168567.00
1198.08 166821.00
1197.08 169626.00
1196.08 171151.00
1195.08 168185.00
1194.08 166861.00
1193.08 168922.50
1192.08 171666.00
1191.08 165742.00
1190.08 165691.00
1189.08 166125.50
1188.08 171859.50
1187.08 169408.00
1186.08 169345.50
1185.08 170257.00
1184.08 170212.00
1183.08 174098.50
1182.08 174592.00
1181.08 171621.50
1180.08 172411.00
1179.08 170874.00
1178.08 172469.00
1177.08 173993.00
1176.08 173785.50
1175.08 172633.50
1174.08 173284.00
1173.08 171674.00
1172.08 173803.50
1171.08 173425.50
1170.08 174285.00
1169.08 169985.00
1168.08 175087.00
1167.08 175654.00
1166.08 171325.00
1165.08 178065.50
1164.08 178373.50
1163.08 172783.00
1162.08 181045.00
1161.08 178227.00
1160.08 176805.00
