Samples4Survey LaCo_0603
1350.08 848794.37
1349.08 842930.55
1348.08 851364.06
1347.08 841790.02
1346.08 839285.7
1345.08 853956.2
1344.08 834488.94
1343.08 833363.62
1342.08 824899.3
1341.08 821020.57
1340.08 812519.11
1339.08 808284.92
1338.08 811548.67
1337.08 795630.92
1336.08 785931.08
1335.08 801166.03
1334.08 788696.68
1333.08 799459.21
1332.08 784769.24
1331.08 763244.52
1330.08 782284.65
1329.08 770594.69
1328.08 788399.57
1327.08 765901.81
1326.08 768297.93
1325.08 756138.89
1324.08 754077.49
1323.08 747364.74
1322.08 760613.88
1321.08 746163.77
1320.08 750898.32
1319.08 739557.64
1318.08 742702.28
1317.08 738731.3
1316.08 727414.4
1315.08 727831.89
1314.08 741486.01
1313.08 728199.92
1312.08 727947.92
1311.08 727521.03
1310.08 717976.71
1309.08 721479.69
1308.08 714970.35
1307.08 720783.23
1306.08 720213.08
1305.08 720301.11
1304.08 708641.08
1303.08 711811.65
1302.08 703660.69
1301.08 698892.18
1300.08 701432.24
1299.08 703446.56
1298.08 696347.75
1297.08 684491.05
1296.08 689982.66
1295.08 691761.91
1294.08 687994.5
1293.08 693333.96
1292.08 687935.39
1291.08 691437.69
1290.08 687364.3
1289.08 673478.73
1288.08 683137.84
1287.08 677376.46
1286.08 674900.44
1285.08 684955.2
1284.08 657942.01
1283.08 675300.31
1282.08 673334.24
1281.08 679378.74
1280.08 680663.52
1279.08 676871.43
1278.08 671049.98
1277.08 681840.58
1276.08 677242.71
1275.08 677866.87
1274.08 683169.43
1273.08 671751.96
1272.08 679460.18
1271.08 692010.71
1270.08 676079.85
1269.08 672139.35
1268.08 688653.22
1267.08 667333.28
1266.08 678161.23
1265.08 683579.29
1264.08 666210.08
1263.08 673634.04
1262.08 667698.83
1261.08 676343.45
1260.08 674550.02
1259.08 675283.94
1258.08 668677.53
1257.08 674950.16
1256.08 679465.18
1255.08 691865.71
1254.08 674620.02
1253.08 665599.26
1252.08 687438.01
1251.08 669604.46
1250.08 674583.14
1249.08 676831.43
1248.08 678740.91
1247.08 677820.2
1246.08 682284.79
1245.08 686468.1
1244.08 678241.03
1243.08 699482.05
1242.08 686309.8
1241.08 687896.18
1240.08 681489.68
1239.08 687041.35
1238.08 681018.13
1237.08 675394.39
1236.08 681829.5
1235.08 686887.41
1234.08 684346.72
1233.08 688105.35
1232.08 694637.95
1231.08 693503.77
1230.08 687513.23
1229.08 703931.82
1228.08 686485.81
1227.08 716626.55
1226.08 698886.43
1225.08 697592.65
1224.08 693946.89
1223.08 692307.61
1222.08 701867.57
1221.08 697764.26
1220.08 703593.01
1219.08 700490.07
1218.08 699997.21
1217.08 687524.88
1216.08 686566.76
1215.08 683261.05
1214.08 692430.42
1213.08 689804.71
1212.08 676146.95
1211.08 682411.05
1210.08 686449.33
1209.08 687643.23
1208.08 681040.47
1207.08 705941.51
1206.08 707251.41
1205.08 695931.41
1204.08 692776.3
1203.08 685336.28
1202.08 676209.64
1201.08 684729.46
1200.08 670791.85
1199.08 673064.82
1198.08 672203.37
1197.08 679731.66
1196.08 671279.38
1195.08 671834.79
1194.08 690822.18
1193.08 664838.09
1192.08 680812.76
1191.08 688339.39
1190.08 686394.83
1189.08 676862.52
1188.08 689114.2
1187.08 690259.12
1186.08 677670.91
1185.08 688363.84
1184.08 690439.59
1183.08 698841.63
1182.08 692608.36
1181.08 690258.98
1180.08 701761.81
1179.08 689222.99
1178.08 691315.54
1177.08 697071.54
1176.08 701747.56
1175.08 705998.25
1174.08 712321.54
1173.08 711820.19
1172.08 708687.68
1171.08 707056.71
1170.08 713998.51
1169.08 714799.6
1168.08 708563.57
1167.08 715415.77
1166.08 720798.14
1165.08 710431.01
1164.08 713714.63
1163.08 713068.23
1162.08 713277.48
1161.08 729940.16
1160.08 719197.17
1159.08 723270.9
1158.08 724695.6
1157.08 727270.57
1156.08 729920.76
1155.08 726454.69
1154.08 724037.59
1153.08 735921.46
1152.08 730215.84
1151.08 744905.51
1150.08 733258
1149.08 734262.67
1148.08 737838.53
1147.08 736678.25
1146.08 745372.02
1145.08 740780.26
1144.08 733454.6
1143.08 729482.93
1142.08 739817.36
1141.08 732993.33
1140.08 742651.65
1139.08 741794.05
1138.08 742006.75
1137.08 743280.03
1136.08 738552.14
1135.08 745983
1134.08 745170.2
1133.08 746164.02
1132.08 750543.19
1131.08 758337.11
1130.08 772776.25
1129.08 787932.85
1128.08 795017.27
1127.08 790479.08
1126.08 802562.24
1125.08 789526.91
1124.08 802273.68
1123.08 777128.22
1122.08 766719.66
1121.08 756745.8
1120.08 753537.28
1119.08 746458.24
1118.08 753981.54
1117.08 746465.9
1116.08 744192.32
1115.08 739802.83
1114.08 747322.53
1113.08 741796.61
1112.08 747415.86
1111.08 742305.78
1110.08 756084.63
1109.08 747909.45
1108.08 746294.16
1107.08 751602.1
1106.08 753543.05
1105.08 763217.61
1104.08 758267.69
1103.08 755972.37
1102.08 748778.15
1101.08 763475.07
1100.08 766631.15
1099.08 743015.68
1098.08 757501.19
1097.08 762681.43
1096.08 775387.41
1095.08 772471.1
1094.08 768124.13
1093.08 768447.88
1092.08 765403.05
1091.08 772058
1090.08 774687.84
1089.08 771247.43
1088.08 772662.51
1087.08 772572.08
1086.08 779389.88
1085.08 784059.75
1084.08 775496.11
1083.08 787040.13
1082.08 784915.05
1081.08 780270.83
1080.08 786742.81
1079.08 797351.35
1078.08 789015.08
1077.08 781510.73
1076.08 793938.65
1075.08 790400.19
1074.08 803704.04
1073.08 802333.68
1072.08 793271.61
1071.08 808820.52
1070.08 816959.53
1069.08 804085.99
1068.08 803466.34
1067.08 810902.18
1066.08 806788.16
1065.08 806279.34
1064.08 809620.05
1063.08 799039.19
1062.08 809440.72
1061.08 808382.37
1060.08 816196.57
1059.08 806874.26
1058.08 827180.91
1057.08 816362.77
1056.08 825728.6
1055.08 817539.95
1054.08 821241.66
1053.08 835323.02
1052.08 823112.89
1051.08 824204.58
1050.08 829665.13
1049.08 837820.91
1048.08 834543.14
1047.08 840730.69
1046.08 845843.39
1045.08 836228.23
1044.08 845635.23
1043.08 850562.14
1042.08 845173.47
1041.08 849819.05
1040.08 849933.6
1039.08 847472.26
