Samples4Survey LaCo_0608
1350.08 919704.57
1349.08 897097.71
1348.08 908992.71
1347.08 891516.87
1346.08 888140.7
1345.08 879509.93
1344.08 890494.87
1343.08 884892.47
1342.08 872196.33
1341.08 865500.8
1340.08 857791.03
1339.08 856534.65
1338.08 849985.8
1337.08 863966.82
1336.08 838849.89
1335.08 837512.3
1334.08 829907.27
1333.08 842878.99
1332.08 831976.32
1331.08 816147.91
1330.08 834151.22
1329.08 810297.42
1328.08 810895.78
1327.08 792908.37
1326.08 816174.47
1325.08 801330.55
1324.08 793410.25
1323.08 795527.81
1322.08 785519.45
1321.08 785900.84
1320.08 786799.62
1319.08 781316.04
1318.08 789902.48
1317.08 778413.92
1316.08 766291.8
1315.08 773477.34
1314.08 780428.07
1313.08 779176.93
1312.08 763764.15
1311.08 749025.17
1310.08 756536.16
1309.08 763977.15
1308.08 759309.92
1307.08 736884.2
1306.08 753765.74
1305.08 742428.08
1304.08 755090.07
1303.08 731745.36
1302.08 737367.14
1301.08 734230.69
1300.08 728328.66
1299.08 718689.04
1298.08 734287.1
1297.08 719118
1296.08 718184.34
1295.08 710976.78
1294.08 718026.29
1293.08 720603.63
1292.08 714208.13
1291.08 720529.17
1290.08 708546.71
1289.08 706984.94
1288.08 706809.31
1287.08 699393.02
1286.08 701998.28
1285.08 711202.34
1284.08 710491.7
1283.08 705336.7
1282.08 704593.5
1281.08 703473.59
1280.08 706308.8
1279.08 693581.63
1278.08 699472.83
1277.08 699642.77
1276.08 692963.82
1275.08 695045.44
1274.08 687479.42
1273.08 703319.45
1272.08 695115.28
1271.08 685846.17
1270.08 696317.27
1269.08 689674.66
1268.08 696917.2
1267.08 688558.32
1266.08 695472.21
1265.08 694342.29
1264.08 692065.46
1263.08 702049.97
1262.08 693673.17
1261.08 688702.66
1260.08 684922.18
1259.08 697166.48
1258.08 695472.8
1257.08 687853.64
1256.08 685933.82
1255.08 714419.89
1254.08 689639.04
1253.08 701697.39
1252.08 701932.72
1251.08 693395.33
1250.08 691109.97
1249.08 690480.74
1248.08 691287.42
1247.08 693968.52
1246.08 695790.06
1245.08 688997.76
1244.08 687435.82
1243.08 688220.34
1242.08 695005.21
