Samples4Survey FeSe_0629
1350.08 763344.03
1349.08 751721.68
1348.08 757240.62
1347.08 755033.07
1346.08 749510.83
1345.08 738666.06
1344.08 734574.39
1343.08 724573.71
1342.08 728312.42
1341.08 716265.02
1340.08 723530.19
1339.08 716482.18
1338.08 723074.19
1337.08 715807.93
1336.08 712835.49
1335.08 708583.98
1334.08 697970.34
1333.08 699054.92
1332.08 699709.67
1331.08 694855.71
1330.08 694745.77
1329.08 695458.95
1328.08 686796.32
1327.08 692742.63
1326.08 680657.69
1325.08 678641.22
1324.08 671082.55
1323.08 674446.68
1322.08 661787.16
1321.08 664038.88
1320.08 666996.93
1319.08 668810.32
1318.08 655356.32
1317.08 648696.24
1316.08 658746.77
1315.08 647757.18
1314.08 651824.15
1313.08 647672.24
1312.08 645513.33
1311.08 642699.38
1310.08 637051.27
1309.08 639942.76
1308.08 634363.28
1307.08 635049.84
1306.08 641082.13
1305.08 640878.13
1304.08 640178.25
1303.08 637505.07
1302.08 631039.41
1301.08 631808.79
1300.08 627208.72
1299.08 615496.25
1298.08 626631.4
1297.08 627116.98
1296.08 625254.44
1295.08 627726.75
1294.08 615993.04
1293.08 620891.18
1292.08 618974.95
1291.08 620255.73
1290.08 610699.42
1289.08 617431.55
1288.08 610116.34
1287.08 618378.98
1286.08 613056.57
1285.08 612085.99
1284.08 611237.45
1283.08 614050.14
1282.08 611904.61
1281.08 606337.85
1280.08 608879.25
1279.08 605600.57
1278.08 610651.57
1277.08 606063.4
1276.08 601190.54
1275.08 606267.26
1274.08 604538.24
1273.08 602407.87
1272.08 601163.01
1271.08 596377.59
1270.08 598280.94
1269.08 603896.6
1268.08 595084.44
1267.08 603250.4
1266.08 600968.23
1265.08 603253.25
1264.08 601833.66
1263.08 601283.2
1262.08 606096.48
1261.08 596815.3
1260.08 603571.9
1259.08 597033.68
1258.08 598975.07
1257.08 599731.28
1256.08 606862.72
1255.08 599939.66
1254.08 597643.97
1253.08 603269.91
1252.08 605107.32
1251.08 603165.92
1250.08 598640.49
1249.08 607131.26
1248.08 602525.55
1247.08 606166.19
1246.08 607410.12
1245.08 614588.08
1244.08 606659.61
1243.08 609165.04
1242.08 603611.45
1241.08 607989.22
1240.08 607522.51
1239.08 615426.97
1238.08 607557.56
1237.08 608344.29
1236.08 611341.88
1235.08 613206.71
1234.08 613261.98
1233.08 621262.41
1232.08 617219.87
1231.08 619908.59
1230.08 620215.98
1229.08 623086.64
1228.08 623964.46
1227.08 622806.77
1226.08 625412.46
1225.08 625476.23
1224.08 628845.27
1223.08 624117.02
1222.08 620796.19
1221.08 620277.25
1220.08 620128.86
1219.08 612223.28
1218.08 612533.47
1217.08 611833.63
1216.08 606236.15
1215.08 609775.4
1214.08 605053.11
1213.08 599623.1
1212.08 603137.82
1211.08 594930.89
1210.08 597694.61
