Samples4Survey FeSe
1032.08 576764.32
1031.08 578565.99
1030.08 586348.46
1029.08 591143.49
1028.08 584457.57
1027.08 594629.13
1026.08 597080.36
1025.08 597814.11
1024.08 593184.63
1023.08 595387.6
1022.08 595054.56
1021.08 599529.17
1020.08 599477.34
1019.08 595802.26
1018.08 598796.78
1017.08 605442.9
1016.08 602451.77
1015.08 609486.54
1014.08 606002.9
1013.08 613753.26
1012.08 610712.43
1011.08 622488.13
1010.08 618904.75
1009.08 623177.51
1008.08 624788.41
1007.08 627245.28
1006.08 618579.45
1005.08 630531.58
1004.08 628481.53
1003.08 625536.23
1002.08 628407.09
1001.08 630871.1
1000.08 631265.25
999.08 637996.84
998.08 639823.34
997.08 644313.07
996.08 658066.89
995.08 669387.94
994.08 666121.17
993.08 663379.42
992.08 650572.6
991.08 630918.46
990.08 631847.99
989.08 631593.18
988.08 629230.91
987.08 625383.92
986.08 625633.47
985.08 617803.01
984.08 620584.46
983.08 623803.34
982.08 622155.59
981.08 637269.12
980.08 649879.13
979.08 664105.74
978.08 691124.46
977.08 721989.55
976.08 763631.56
975.08 796577.26
974.08 823535.11
973.08 791766.33
972.08 720810.73
971.08 678497.64
970.08 649711.83
969.08 630275.87
968.08 614392.09
967.08 607748.08
966.08 585328.7
965.08 576798.75
964.08 566121.18
963.08 559789.95
962.08 557179.74
961.08 549461.08
960.08 544729.79
959.08 549016.04
958.08 547784.4
957.08 553172.53
956.08 554897.52
955.08 555983.47
954.08 559113.43
953.08 557829.11
952.08 565314.32
951.08 557823.97
950.08 568638.9
949.08 565862.75
948.08 572821.16
947.08 564873.12
946.08 563682.3
945.08 572409.4
944.08 572404.22
943.08 573174.62
942.08 577566.51
941.08 578022.83
940.08 583017.17
939.08 580131.77
938.08 588018.01
937.08 590004.78
936.08 579939.8
935.08 586575.38
934.08 585747.07
933.08 583507.81
932.08 590241.63
931.08 593127.47
930.08 595591.38
929.08 588713.2
928.08 597550.32
927.08 597017.69
926.08 602206.09
925.08 605779.75
924.08 601600.34
923.08 602880.6
922.08 604250.77
921.08 600819.64
920.08 600482.67
919.08 599401.67
918.08 597840.83
917.08 607902.72
916.08 607843.12
915.08 605830.34
914.08 608939.14
913.08 616505.5
912.08 611065.61
911.08 618191.6
910.08 621712.29
909.08 627111.95
908.08 626688.68
907.08 628415.44
906.08 629244.11
905.08 631032.25
904.08 634630.65
903.08 640532.61
902.08 635218.24
901.08 634169.99
900.08 638728.41
899.08 640454.05
898.08 646034.56
897.08 644146.22
896.08 648522.62
895.08 646748.46
894.08 643619.79
893.08 641790.07
892.08 641646.95
891.08 647981.51
890.08 643960.35
889.08 640225.25
888.08 631800.81
887.08 614438.04
886.08 615762.95
885.08 607319.42
884.08 602506.48
883.08 598650.44
882.08 600962.57
881.08 599817.96
880.08 599834.12
879.08 604412.38
878.08 605903.79
877.08 604382.84
876.08 603379.41
875.08 606647.74
874.08 605334.1
873.08 604988.7
872.08 599906.28
871.08 609884.34
870.08 607700.65
869.08 606191.16
868.08 606352.1
867.08 612190.59
866.08 607709.76
865.08 616034.27
864.08 620349.5
863.08 610789.89
862.08 617741.45
861.08 624313.43
860.08 620109.45
859.08 631165.79
858.08 622328.09
857.08 630307.72
856.08 632962.16
855.08 640572.7
854.08 644854.87
853.08 648970.16
852.08 646985.98
851.08 657182.36
850.08 644126.22
849.08 662620.46
848.08 658314.08
847.08 661832.24
846.08 659790.29
845.08 661159.8
844.08 657505.82
843.08 658083.94
842.08 659222.71
841.08 653374.3
840.08 653245.99
839.08 649111.7
838.08 638967.29
837.08 640054.51
836.08 636511.19
835.08 634505.65
834.08 619003.89
833.08 601678.35
832.08 594446.63
831.08 592208.77
830.08 584743.76
829.08 582688.75
828.08 577860.37
827.08 579186.52
826.08 580421.08
825.08 578735.07
824.08 577889.53
823.08 590354.49
822.08 580628.54
821.08 578174.25
820.08 578407.65
819.08 573333.66
818.08 575778.93
817.08 573909.87
816.08 574936.2
815.08 578852.9
814.08 584050.88
813.08 581554.94
812.08 585298.82
811.08 587882.79
810.08 586428.06
809.08 591210.07
808.08 588116.19
807.08 588030.01
806.08 592201.88
805.08 589107.03
804.08 595680.34
803.08 598398.53
802.08 592416.94
801.08 594447.9
800.08 598350.6
799.08 600338.49
798.08 595229.28
797.08 605474.22
796.08 616260.36
795.08 610979.43
794.08 609339.67
793.08 613948.17
792.08 622201.17
791.08 622807.96
790.08 630988.74
789.08 638028.77
788.08 639230.9
787.08 651009.77
786.08 653419.19
785.08 652831.87
784.08 653156.45
783.08 651351.94
782.08 637978.47
781.08 631685.39
780.08 632161.56
779.08 625828.78
778.08 619102.82
777.08 613852.9
776.08 617886.86
775.08 606051.91
774.08 616733.45
773.08 615232.07
772.08 618734.59
771.08 614852.07
770.08 621764.35
769.08 618983.8
768.08 613977.62
767.08 622926.52
766.08 610834.95
765.08 612808.58
764.08 617851.11
763.08 615868.99
762.08 612509.95
761.08 620372.18
760.08 612758.38
759.08 616848.48
758.08 627393.72
757.08 632504.19
756.08 622409.66
755.08 626737.17
754.08 632238.13
753.08 628311.03
752.08 637605.83
751.08 640550.88
750.08 639735.81
749.08 639156.14
748.08 636532.11
747.08 643861.19
746.08 646782.98
745.08 650315.77
744.08 657159.83
743.08 659166.68
742.08 668432.04
741.08 660490.51
740.08 653810.99
739.08 661545.89
738.08 661674.4
737.08 665589.6
736.08 674038.05
735.08 677245.59
734.08 684770.82
733.08 684168.85
732.08 689927.83
731.08 694842.83
730.08 700437.92
729.08 705889.68
728.08 714097.08
727.08 726748.51
726.08 747862.83
725.08 761226
724.08 755252.05
723.08 737064.32
722.08 712078.12
721.08 699731.16
720.08 700802.12
719.08 695591.1
718.08 686465.84
717.08 689662.63
716.08 689325.4
715.08 688003.85
714.08 704199.61
713.08 729821.15
712.08 768251.84
711.08 786539.75
710.08 761593.75
709.08 685778.91
708.08 609509.55
707.08 591149.44
706.08 569669.03
705.08 557176.95
704.08 553331.48
703.08 550699.43
702.08 547803.05
701.08 552256.21
700.08 551710.28
699.08 554539.38
698.08 557484.34
697.08 560695.38
696.08 554482.85
695.08 559726.35
694.08 559015.14
693.08 558186.69
692.08 559847
691.08 556315.59
690.08 561978.93
689.08 563259.55
688.08 562782.15
687.08 566833.66
686.08 563658.76
685.08 565479.09
684.08 567790.43
683.08 562002.57
682.08 566577.73
681.08 569274.37
680.08 572489.25
679.08 573692.47
678.08 573874.23
677.08 567984.32
676.08 571726.05
675.08 577356.79
674.08 579334.84
673.08 581873.37
672.08 580630.04
671.08 579868.74
670.08 581540.39
669.08 579694.88
668.08 576966.48
667.08 585225.58
666.08 582937.5
665.08 584667.32
664.08 580502.98
663.08 581206.9
662.08 592125.27
661.08 586244.24
660.08 594861.64
659.08 591118.61
