Samples4Survey LaCo_0212_1
1350.08 835613.65
1349.08 833424.54
1348.08 825366.99
1347.08 802088.26
1346.08 810661.29
1345.08 814980
1344.08 793626.19
1343.08 810691.27
1342.08 807393.98
1341.08 801781.62
1340.08 789054.48
1339.08 795355.58
1338.08 792441.68
1337.08 781587.84
1336.08 776809.1
1335.08 777663.17
1334.08 763378.81
1333.08 771227.69
1332.08 780241.29
1331.08 766238.94
1330.08 762839.91
1329.08 763213.3
1328.08 750698.26
1327.08 751925.72
1326.08 749432.54
1325.08 760671.35
1324.08 742439.24
1323.08 734251.88
1322.08 732725.64
1321.08 723284.64
1320.08 728366.04
1319.08 713407.54
1318.08 710325.46
1317.08 713115.04
1316.08 711640.03
1315.08 705152.74
1314.08 708630.75
1313.08 685347.87
1312.08 700205.12
1311.08 707283.55
1310.08 695649.32
1309.08 687220.7
1308.08 676900.41
1307.08 678403.63
1306.08 680477.17
1305.08 676551.67
1304.08 683239.35
1303.08 685989.9
1302.08 670902.32
1301.08 674103.76
1300.08 665036.37
1299.08 670510.93
1298.08 670145.83
1297.08 657296.13
1296.08 664376.02
1295.08 649821.77
1294.08 658822.51
1293.08 655624.51
1292.08 658427.79
1291.08 663427.67
1290.08 661232.49
1289.08 653140.82
1288.08 658367.36
1287.08 657147.53
1286.08 674797.21
1285.08 650495.3
1284.08 652469.38
1283.08 668331.25
1282.08 665973.33
1281.08 659892.81
1280.08 653953.7
1279.08 642608.66
1278.08 664828.69
1277.08 656680.54
1276.08 658315.58
1275.08 664333.78
1274.08 657426.54
1273.08 647757.5
1272.08 646810.41
1271.08 663223.82
1270.08 653385.87
1269.08 650905.34
1268.08 639939.99
1267.08 638127.53
1266.08 656889.83
1265.08 655202.68
1264.08 643821.91
1263.08 655672.32
1262.08 647052.15
1261.08 647536.91
1260.08 643034.89
1259.08 648722.02
1258.08 644665.54
1257.08 642727.88
1256.08 650483.93
1255.08 634021.27
1254.08 639501.71
1253.08 635377.07
1252.08 636468.97
1251.08 650650.37
1250.08 638276.72
1249.08 636922.77
1248.08 633445.71
1247.08 649937.52
1246.08 653471.68
1245.08 642854.62
1244.08 639613.69
1243.08 649474.1
1242.08 642429.02
1241.08 647335.15
1240.08 645132.46
1239.08 649674.03
1238.08 642203.28
1237.08 642892.26
1236.08 661750.93
1235.08 651514.95
1234.08 657699.93
1233.08 638388.32
1232.08 649126.7
1231.08 642545.13
1230.08 637014.75
1229.08 660978.65
1228.08 656949.39
1227.08 660881.18
1226.08 649621.61
1225.08 655063.38
1224.08 654286.92
1223.08 654591.58
1222.08 669125.73
1221.08 656820.76
1220.08 647891.39
1219.08 655488.93
1218.08 654172.98
1217.08 635530.01
1216.08 647142.72
1215.08 644471.43
1214.08 640208.56
1213.08 655811.98
1212.08 641014.67
1211.08 641003.93
1210.08 640755.13
1209.08 642020.78
1208.08 639161.25
1207.08 648540.76
1206.08 648775.41
1205.08 645248.26
1204.08 647991.61
1203.08 632719.18
1202.08 639186.13
1201.08 640036.35
1200.08 635090.56
1199.08 631651.46
1198.08 632570.6
1197.08 623790.35
1196.08 633700.85
1195.08 623617.82
1194.08 631292.85
1193.08 625504.84
1192.08 628330.89
1191.08 630319.22
1190.08 620852.55
1189.08 630990.03
1188.08 637849.36
1187.08 635177.6
1186.08 627670.51
1185.08 634005.61
1184.08 629100.04
1183.08 646666.38
1182.08 653957.26
1181.08 638747.03
1180.08 633273.97
1179.08 640049.72
1178.08 641000.2
1177.08 649774.74
1176.08 649782.08
1175.08 650568.6
1174.08 648177.76
1173.08 655853.39
1172.08 642674.61
1171.08 645612.43
1170.08 654011.96
1169.08 653253.18
1168.08 644001.09
1167.08 644552.26
1166.08 651217.33
1165.08 642906.33
1164.08 657796.29
1163.08 651299.08
1162.08 649981.13
1161.08 641756.91
1160.08 644481.32
1159.08 647611.74
1158.08 649340.03
1157.08 646186.54
1156.08 641287.81
1155.08 652884.58
1154.08 653426.71
1153.08 645602.62
1152.08 647304.99
1151.08 646011.45
1150.08 645415.52
1149.08 642085.17
1148.08 648762.26
1147.08 651960.24
1146.08 644497.74
1145.08 651222.55
1144.08 650978.58
1143.08 639870.27
1142.08 646369.8
1141.08 653026.63
1140.08 650255.2
1139.08 662314.85
1138.08 658309.01
1137.08 655328.2
1136.08 649182.78
1135.08 655145.05
1134.08 651267.32
1133.08 662166.72
1132.08 667364.81
1131.08 687119.84
1130.08 680623.25
1129.08 699751.84
1128.08 698084.41
1127.08 701977.76
1126.08 709048.17
1125.08 700100.09
1124.08 705629.13
1123.08 692630.84
1122.08 681514.37
1121.08 673353.02
1120.08 663458.52
1119.08 668631.98
1118.08 669887.72
1117.08 664324.49
1116.08 668814.41
1115.08 651984.9
1114.08 658623.48
1113.08 666373.2
1112.08 656590.15
1111.08 654366.14
1110.08 653963.42
1109.08 658397.39
1108.08 647740.29
1107.08 661838.28
1106.08 662445.29
1105.08 662001.13
1104.08 652582.22
1103.08 657060.55
1102.08 662712.89
1101.08 659743.69
1100.08 662302.39
1099.08 665567.16
1098.08 661629.44
1097.08 658324.55
1096.08 663350.59
1095.08 661271.25
1094.08 674090.56
1093.08 663201.08
1092.08 664814.5
1091.08 654376.52
1090.08 670811.69
1089.08 668485.39
1088.08 663260.68
1087.08 667099.44
1086.08 667808.03
1085.08 673689.71
1084.08 671320.33
1083.08 672167.82
1082.08 665992.03
1081.08 672942.59
1080.08 668553.7
1079.08 672956
1078.08 674806.84
1077.08 673168.92
1076.08 668304.33
1075.08 680076.73
1074.08 672222.3
1073.08 676151.76
1072.08 688780.55
1071.08 692987.35
1070.08 684062.1
1069.08 678027.21
1068.08 678766.73
1067.08 687155.05
1066.08 687920.32
1065.08 680160.95
1064.08 691473.62
1063.08 681740.41
1062.08 680176.83
1061.08 681852.2
1060.08 677533.05
1059.08 695437.29
1058.08 695508.84
1057.08 688589.02
1056.08 697130.28
1055.08 694365.59
1054.08 689969.42
1053.08 682576.6
1052.08 694970.2
1051.08 682242.4
1050.08 680756.31
1049.08 693521.72
1048.08 689615.74
1047.08 698128.39
1046.08 705217.25
1045.08 701665.48
1044.08 698313.78
1043.08 701062.78
1042.08 710488.2
1041.08 703442.39
1040.08 707347.71
1039.08 706540.9
1038.08 704395.16
1037.08 712723.07
1036.08 722175.2
1035.08 709772.77
1034.08 725371.48
1033.08 716319.9
1032.08 724093.45
1031.08 715717.77
1030.08 715230.44
1029.08 723674.03
1028.08 713684.96
1027.08 711854.84
1026.08 709910.05
1025.08 704889.31
1024.08 708425.75
1023.08 713673.88
1022.08 716077
1021.08 709658.68
1020.08 708781.95
1019.08 722940.52
1018.08 720059.43
1017.08 721556.66
1016.08 714201.63
1015.08 718920.86
1014.08 714117.69
1013.08 716445.31
1012.08 708611.54
1011.08 715636.57
1010.08 727970.89
1009.08 719619.56
1008.08 732226.45
1007.08 720390.02
1006.08 730669.96
1005.08 729857
1004.08 719221.71
1003.08 731821.7
1002.08 726029.14
1001.08 736632.96
1000.08 727238.21
999.08 743694.67
998.08 733563.65
997.08 744120.93
996.08 747111.11
995.08 759964.02
994.08 760197.01
993.08 767102.14
992.08 750393.66
991.08 756511.41
990.08 745220.84
989.08 749907.73
988.08 750448.31
987.08 753178.12
986.08 745076.08
985.08 752499.93
984.08 741113.03
983.08 754991.62
982.08 738796.67
981.08 743242.32
980.08 757141.64
979.08 759603.35
978.08 765727.14
977.08 778116.68
976.08 781229.71
975.08 806713.24
974.08 813781.57
973.08 828989.35
972.08 820699.92
971.08 810547.37
970.08 790169.41
969.08 765913.82
968.08 747512.63
967.08 752157.74
966.08 748092.23
965.08 735351.8
964.08 734130.63
963.08 729836.65
962.08 726924.16
961.08 723899.18
960.08 713964.96
959.08 713158.59
958.08 710630.12
957.08 714784.76
956.08 714982.32
955.08 714339.56
954.08 718748.55
953.08 714560.34
952.08 718394.69
951.08 708581.39
950.08 709059.37
949.08 691943.9
948.08 706126.53
947.08 699028.73
946.08 697269.89
945.08 700771.35
944.08 702321.09
943.08 697530.31
942.08 689180.16
941.08 699094.16
940.08 702087.96
939.08 710159.85
938.08 702120.96
937.08 705349.94
936.08 695141.08
935.08 702552.93
934.08 702976.37
933.08 694699.66
932.08 705371.25
931.08 696125.17
930.08 695078.79
929.08 705724.27
928.08 720372.55
927.08 718506.01
926.08 719459.15
925.08 708643.48
924.08 716092.98
923.08 704714.6
922.08 705467.93
921.08 702865.29
920.08 706208.51
919.08 684787.2
918.08 699173.17
917.08 704686.61
916.08 700457.72
915.08 708879.71
914.08 699972.58
913.08 702841.22
912.08 698714.86
911.08 697493.26
910.08 725776.17
909.08 717767.45
908.08 701172.18
907.08 700750.59
906.08 714522.53
905.08 721782.71
904.08 719432.7
903.08 717769.08
902.08 706142.61
901.08 729261.28
900.08 730182.23
899.08 725582.39
898.08 729056.67
897.08 735787.62
896.08 730691.46
895.08 733605.89
894.08 738652.72
893.08 744492.9
892.08 736596.53
891.08 743171.61
890.08 745351.39
889.08 743809.93
