Samples4Survey LaCo_0212_2
1350.08 788465.1
1349.08 791211.51
1348.08 794405.77
1347.08 794827.5
1346.08 795187.24
1345.08 784372.63
1344.08 798410.8
1343.08 796754.08
1342.08 797703.48
1341.08 785843.16
1340.08 771535.26
1339.08 781675.14
1338.08 783344.33
1337.08 773245.63
1336.08 780618.41
1335.08 781549.51
1334.08 776301.63
1333.08 766461.06
1332.08 783311.12
1331.08 778899.8
1330.08 762234.83
1329.08 764152.77
1328.08 770779.82
1327.08 756573.34
1326.08 756216.43
1325.08 753742.37
1324.08 729845.97
1323.08 753597.03
1322.08 748081.41
1321.08 736877.99
1320.08 745214.02
1319.08 736898.46
1318.08 746279.07
1317.08 725485.2
1316.08 744739.72
1315.08 738055.95
1314.08 721562.6
1313.08 718293.04
1312.08 726333.62
1311.08 733062.38
1310.08 723465.94
1309.08 722034.09
1308.08 730871.87
1307.08 720309
1306.08 716509.8
1305.08 730687.49
1304.08 712628.53
1303.08 731395.79
1302.08 721647.53
1301.08 720231.59
1300.08 719578.03
1299.08 715699.27
1298.08 708822.73
1297.08 713672.95
1296.08 721797.99
1295.08 713220.39
1294.08 695909.04
1293.08 702198.97
1292.08 696970.14
1291.08 703805.35
1290.08 687196.37
1289.08 693937.72
1288.08 687178.79
1287.08 681427.06
1286.08 674776.61
1285.08 684631.93
1284.08 683167.02
1283.08 676206.42
1282.08 680046.32
1281.08 659366.57
1280.08 671754.35
1279.08 663238.87
1278.08 665950.15
1277.08 669047.63
1276.08 672023.84
1275.08 663288.49
1274.08 664700.97
1273.08 668011.98
1272.08 677861.85
1271.08 670659.96
1270.08 663880.8
1269.08 659178.77
1268.08 662537.04
1267.08 661082.55
1266.08 673084.25
1265.08 670829.4
1264.08 667472.26
1263.08 677410.43
1262.08 672636.62
1261.08 663314.21
1260.08 667530.93
1259.08 668833.39
1258.08 675906.58
1257.08 668891.69
1256.08 662638.91
1255.08 666075.39
1254.08 674101.18
1253.08 670179.52
1252.08 667565.59
1251.08 671016.47
1250.08 669315.24
1249.08 667112.53
1248.08 672412.13
1247.08 689439.49
1246.08 679495.13
1245.08 684734.64
1244.08 666992.94
1243.08 665852.2
1242.08 680953.59
1241.08 685422.01
1240.08 678784.28
1239.08 679854.4
1238.08 670827.63
1237.08 681960.8
1236.08 673715.61
1235.08 676613.5
1234.08 678142.64
1233.08 689296.25
1232.08 675916.75
1231.08 673192.01
1230.08 673480.19
1229.08 688829.03
1228.08 676275.91
1227.08 675146.05
1226.08 682762.8
1225.08 685215.15
1224.08 683131.45
1223.08 676099.2
1222.08 682847.47
1221.08 683196.58
1220.08 676805.42
1219.08 665042.47
1218.08 661604.19
1217.08 662625.47
1216.08 671029.66
1215.08 658048.84
1214.08 648890.52
1213.08 655222.32
1212.08 669117.92
1211.08 669882.41
1210.08 660282.64
1209.08 674605.41
1208.08 670682.68
1207.08 676015.42
1206.08 682474.04
1205.08 678428.28
1204.08 672350.34
1203.08 654490.25
1202.08 650537.99
1201.08 652010.47
1200.08 645193.44
1199.08 652307.93
1198.08 650657.81
1197.08 651841.7
1196.08 653369.98
1195.08 653132.06
1194.08 648478.13
1193.08 657938.16
1192.08 660116.58
1191.08 649601.81
1190.08 655176.01
1189.08 658316.26
1188.08 656949.11
1187.08 649769.54
1186.08 652055.33
1185.08 655065.98
1184.08 661809.77
1183.08 667826.63
1182.08 651125.75
1181.08 655605.18
1180.08 661006.89
1179.08 658645.9
1178.08 658167.03
1177.08 662506.44
1176.08 662127.14
1175.08 665328.74
1174.08 676698.22
1173.08 666986.4
1172.08 679673.5
1171.08 661507.17
1170.08 672240.44
1169.08 660882.72
1168.08 664953.74
1167.08 667979.04
1166.08 670734
1165.08 663039.89
1164.08 673503.5
1163.08 663723.86
1162.08 670942.1
1161.08 669343.1
1160.08 673441.73
1159.08 680326.15
1158.08 670030.24
1157.08 674218.74
1156.08 661400.9
1155.08 681029.1
1154.08 673101.4
1153.08 673780.92
1152.08 676011.62
1151.08 673344.57
1150.08 672367.41
1149.08 667388.3
1148.08 681065.6
1147.08 676873.85
1146.08 686901.39
1145.08 680740.75
1144.08 675676.98
1143.08 675365.14
1142.08 686089.9
1141.08 667913.48
1140.08 679596.89
1139.08 684071.66
1138.08 681965.66
1137.08 682826.56
1136.08 673361.15
1135.08 678545.48
1134.08 686327.84
1133.08 686850.35
1132.08 692351.39
1131.08 698109.12
1130.08 711333.18
1129.08 723049.47
1128.08 726466.06
1127.08 726382.33
1126.08 723778.55
1125.08 720516.65
1124.08 718681.55
1123.08 711737.93
1122.08 686804.59
1121.08 673708.21
1120.08 678299.04
1119.08 664580.22
1118.08 675415.29
1117.08 677104.37
1116.08 649376.82
1115.08 661109.28
1114.08 660568.22
1113.08 670049.45
1112.08 673300.68
1111.08 670993.27
1110.08 681126.89
1109.08 651175.98
1108.08 662053.28
1107.08 685160.2
1106.08 675366.29
1105.08 661092.57
1104.08 659745.09
1103.08 669784
1102.08 673528.32
1101.08 679742.76
1100.08 682043.52
1099.08 683982
1098.08 680217.45
1097.08 690328.38
1096.08 681991.03
1095.08 681677.53
1094.08 687753.73
1093.08 686830.62
1092.08 691506.39
1091.08 681629.17
1090.08 678569.98
1089.08 682440.77
1088.08 679637.45
1087.08 696528.94
1086.08 691687.77
1085.08 684503.48
1084.08 679085.58
1083.08 689165.67
1082.08 688090.13
1081.08 696054.77
1080.08 687075
1079.08 684954.83
1078.08 690719.43
1077.08 691172.38
1076.08 687962.26
1075.08 689686.19
1074.08 690136.8
1073.08 703191.4
1072.08 707899.41
1071.08 709275.56
1070.08 704152.18
1069.08 703882.26
1068.08 702209.31
1067.08 702787.75
1066.08 703586.84
1065.08 716210.21
1064.08 698212.37
1063.08 716379.64
1062.08 712624.54
1061.08 701628.23
1060.08 704246.83
1059.08 706570.9
1058.08 711761.43
1057.08 695363.44
1056.08 696255.75
1055.08 708410.62
1054.08 709002.67
1053.08 711880.56
1052.08 710394.75
1051.08 723533
