Samples4Survey LaCo_0607
1350.08 858045.82
1349.08 840790.41
1348.08 854276.37
1347.08 844205.78
1346.08 825828.07
1345.08 825480.69
1344.08 817879.21
1343.08 834069.5
1342.08 808070.94
1341.08 811309.31
1340.08 808298.87
1339.08 802079.13
1338.08 803854.14
1337.08 800292.81
1336.08 813422.49
1335.08 783278.97
1334.08 779571.15
1333.08 789312.92
1332.08 788114.6
1331.08 765558.2
1330.08 764345.4
1329.08 759489.92
1328.08 760765.09
1327.08 754303.3
1326.08 753951.84
1325.08 759820.04
1324.08 746067.27
1323.08 740002.16
1322.08 739971.77
1321.08 746318.77
1320.08 733063.95
1319.08 735177.6
1318.08 724011
1317.08 733533.17
1316.08 713610.66
1315.08 708722.76
1314.08 730162.56
1313.08 710146.14
1312.08 703951.74
1311.08 708863.67
1310.08 721631.98
1309.08 699526.34
1308.08 701426.14
1307.08 718355.43
1306.08 713891.35
1305.08 702105.76
1304.08 705086.22
1303.08 704979.4
1302.08 703903.5
1301.08 695085.57
1300.08 693098.25
1299.08 683911.9
1298.08 693260.43
1297.08 691726.07
1296.08 688700.8
1295.08 683211.55
1294.08 680037.4
1293.08 682816.55
1292.08 679135.32
1291.08 680582.59
1290.08 673840.03
1289.08 663286.15
1288.08 670751.35
1287.08 670548.49
1286.08 668122.91
1285.08 673605.31
1284.08 653579.28
1283.08 661707.15
1282.08 677967.72
1281.08 657975.84
1280.08 677065.13
1279.08 670709.32
1278.08 666187.84
1277.08 667720.83
1276.08 657146.07
1275.08 660688.81
1274.08 662088.68
1273.08 659066.29
1272.08 662587.26
1271.08 661444.51
1270.08 659593.45
1269.08 664661.59
1268.08 664155.11
1267.08 655003.52
1266.08 661816.51
1265.08 659392.58
1264.08 667083.38
1263.08 669883.83
1262.08 683990.03
1261.08 664606.41
1260.08 666419.32
1259.08 654933.96
1258.08 659657.56
1257.08 655495.6
1256.08 661370.66
1255.08 655011.81
1254.08 664687.34
1253.08 666799.83
1252.08 673485.87
1251.08 660640.73
1250.08 658908.61
1249.08 675796.49
1248.08 654956.86
1247.08 671921.24
1246.08 664025.29
1245.08 658253.99
1244.08 660025.7
1243.08 666825.51
1242.08 672653.69
1241.08 656104.9
1240.08 667851.56
1239.08 666455.7
1238.08 672303.74
1237.08 669249.11
1236.08 685790.83
1235.08 666419.29
1234.08 662062.01
1233.08 668288.84
1232.08 681390.51
1231.08 674016.43
1230.08 674892.43
1229.08 678047.1
1228.08 673056.48
1227.08 681023.36
1226.08 666472.3
1225.08 676833.52
1224.08 671768.25
1223.08 684959.79
1222.08 692737.83
1221.08 684335.95
1220.08 683456.17
