Samples4Survey LaCo_0203
1350.08 926917.05
1349.08 928930.24
1348.08 906847.78
1347.08 914617.32
1346.08 904129.4
1345.08 914607.61
1344.08 911560.55
1343.08 907668.81
1342.08 898330.51
1341.08 901420.92
1340.08 884336.24
1339.08 875238.79
1338.08 882624.94
1337.08 875668.91
1336.08 884992.84
1335.08 868217.05
1334.08 872704.72
1333.08 862114.09
1332.08 860818.97
1331.08 855404.03
1330.08 846124.96
1329.08 842190.81
1328.08 848563.58
1327.08 844946.5
1326.08 832841.12
1325.08 824224.78
1324.08 830254.32
1323.08 840443.86
1322.08 840967.59
1321.08 818173.33
1320.08 826148.02
1319.08 812403.68
1318.08 816197.38
1317.08 808090.15
1316.08 809714.98
1315.08 805246.5
1314.08 799848.36
1313.08 796465.13
1312.08 789204.01
1311.08 789664.87
1310.08 790933.91
1309.08 786542.8
1308.08 788377.51
1307.08 784834.81
1306.08 787118.93
1305.08 772189.61
1304.08 770746.3
1303.08 772974.91
1302.08 773582.76
1301.08 763073.92
1300.08 772758.7
1299.08 757159.61
1298.08 765101.8
1297.08 765103.55
1296.08 753621.24
1295.08 761886.64
1294.08 755968
1293.08 749635.98
1292.08 742497.63
1291.08 762529.25
1290.08 740941.02
1289.08 746515.31
1288.08 754884.12
1287.08 739809.55
1286.08 733941.4
1285.08 747841.6
1284.08 747329.6
1283.08 731977.22
1282.08 749678.87
1281.08 754366.49
1280.08 742651.34
1279.08 734843.84
1278.08 733243.3
1277.08 732282.14
1276.08 742784.25
1275.08 727793.11
1274.08 735283.75
1273.08 739922.65
1272.08 738484.53
1271.08 741904.72
1270.08 746096.94
1269.08 744633.96
1268.08 740579.23
1267.08 742378.93
1266.08 736600.51
1265.08 731556.06
1264.08 735977.12
1263.08 736351.11
1262.08 745768.71
1261.08 740734
1260.08 732596.2
1259.08 737562.49
1258.08 734376.61
1257.08 742628.86
1256.08 738843.33
1255.08 738619.56
1254.08 733735.19
1253.08 735221.81
1252.08 744493.62
1251.08 742646.88
1250.08 737623.08
1249.08 743968.26
1248.08 746195.03
1247.08 736928.48
1246.08 737948.32
1245.08 736103.32
1244.08 737775.29
1243.08 741512.4
1242.08 750463.68
1241.08 737086.71
1240.08 748260.94
1239.08 742190.14
1238.08 746795.5
1237.08 733471.37
1236.08 739665.22
1235.08 735617.31
1234.08 733135.89
1233.08 733969.18
1232.08 750694.77
1231.08 745376.09
1230.08 738562.63
1229.08 748613.91
1228.08 745335.09
1227.08 749036.93
1226.08 746221.31
1225.08 737442.34
1224.08 751358.23
1223.08 753910.41
1222.08 744728.75
1221.08 758015.29
1220.08 734297.6
1219.08 734615.23
1218.08 733177.39
1217.08 729644.74
1216.08 736648.67
1215.08 741000.62
1214.08 738928.73
1213.08 731200.19
1212.08 735339.58
1211.08 738249.2
1210.08 761012.03
1209.08 760199.33
1208.08 748487.86
1207.08 762135.92
1206.08 748413.84
1205.08 757939.16
1204.08 748020.5
1203.08 737190.66
1202.08 738854.07
1201.08 728939.33
1200.08 720585.03
1199.08 734291.27
1198.08 724722.1
1197.08 719141.69
1196.08 724693.23
1195.08 722926.97
1194.08 729451.67
1193.08 716619.08
1192.08 731529.77
1191.08 730651.69
1190.08 721824.89
1189.08 725118.4
1188.08 724677.31
1187.08 731181.58
1186.08 727736.01
1185.08 727967.66
1184.08 737561.55
1183.08 727250.64
1182.08 728153.78
1181.08 727385
1180.08 744645.68
1179.08 731187.03
1178.08 738721.28
1177.08 720774.55
1176.08 734383.53
1175.08 738831.14
1174.08 738264.66
1173.08 736144.65
1172.08 738475.08
1171.08 750895.68
1170.08 747018
1169.08 744143.39
1168.08 744666.58
1167.08 739519.71
1166.08 733762.05
1165.08 744476.16
1164.08 742690.25
1163.08 752891.53
1162.08 735563.33
1161.08 758704.38
1160.08 748802.17
1159.08 757329.62
1158.08 743366.28
1157.08 752435.67
1156.08 751927.72
1155.08 759884.99
1154.08 760365.49
