Samples4Survey LaCo_0116
1350.08 878437.1
1349.08 876258.35
1348.08 868080.21
1347.08 875859.88
1346.08 879383.75
1345.08 865908.96
1344.08 872687.52
1343.08 860831.64
1342.08 850543.88
1341.08 849707.23
1340.08 858883.92
1339.08 852061.18
1338.08 849646.69
1337.08 838239.55
1336.08 836449.24
1335.08 839995.23
1334.08 825197.77
1333.08 821198.85
1332.08 819375.02
1331.08 816066.1
1330.08 821814.78
1329.08 809475.51
1328.08 806513.93
1327.08 823413.78
1326.08 817327.6
1325.08 807392.02
1324.08 797964.8
1323.08 791097.19
1322.08 800026.48
1321.08 797901.53
1320.08 791042.83
1319.08 792282.26
1318.08 779089.45
1317.08 767949.13
1316.08 772883.88
1315.08 780628.46
1314.08 770414.07
1313.08 770964.32
1312.08 777025.7
1311.08 775243.12
1310.08 773918.56
1309.08 764634.75
1308.08 768462.07
1307.08 770622.98
1306.08 760761.24
1305.08 773284.78
1304.08 761782.42
1303.08 752295.27
1302.08 763557.64
1301.08 748271.22
1300.08 753796.47
1299.08 762967.26
1298.08 756181.26
1297.08 750367.82
1296.08 747301.45
1295.08 763021.7
1294.08 746207.63
1293.08 751178.34
1292.08 749854.57
1291.08 732855.23
1290.08 723535.68
1289.08 731386.82
1288.08 742703.65
1287.08 750441.62
1286.08 741930.68
1285.08 740811.08
1284.08 731215.06
1283.08 736892.43
1282.08 742111.57
1281.08 748962.79
1280.08 738485.78
1279.08 743050.03
1278.08 715144.56
1277.08 733550.39
1276.08 720577.94
1275.08 736751.98
1274.08 731946.87
1273.08 738621.12
1272.08 739245.48
1271.08 737244.45
1270.08 739906.81
1269.08 733568.26
1268.08 734253.63
1267.08 736821.16
1266.08 732933.03
1265.08 739135.16
1264.08 736146.35
1263.08 734937.19
1262.08 716844.02
1261.08 727188.91
1260.08 737375.6
1259.08 726756.72
1258.08 731148.7
1257.08 732895.8
1256.08 725951.59
1255.08 723030.99
1254.08 734441
1253.08 732144.05
1252.08 727818.53
1251.08 737889.73
1250.08 734514.19
1249.08 735683.84
1248.08 740802.26
1247.08 737132.39
1246.08 740851.21
1245.08 747411.31
1244.08 743607.24
1243.08 738235.43
1242.08 726109.4
1241.08 741665.17
1240.08 740241.86
1239.08 751788.93
1238.08 746601.43
1237.08 739222.95
1236.08 743262.39
1235.08 730095.62
1234.08 741521.66
1233.08 730388.23
1232.08 750067.73
1231.08 751169.71
1230.08 742467.87
1229.08 750152.17
1228.08 747983.12
1227.08 740192.93
1226.08 759924.25
1225.08 749356.8
1224.08 751176.89
1223.08 751955.27
1222.08 744392
1221.08 740156.45
1220.08 734499.66
1219.08 737569.24
1218.08 748047.6
1217.08 740867.7
1216.08 731993.4
1215.08 737949.9
1214.08 736287.65
1213.08 736967.05
1212.08 726542.44
1211.08 736936.07
1210.08 736240.15
1209.08 748669.75
1208.08 747895.61
1207.08 743944.32
